model_region,AGGT,APPL,ARAB,BARL,BEFM,BULF,BULH,BULL,CACR,CAFF,CAFR,CAMF,CAMR,CATA,CERE,CITR,CORN,DCOH,DCOL,DCOW,DWHE,FLOW,FODD,GRAE,GRAI,GRAS,HEIF,HEIH,HEIL,HEIR,HENS,MAIF,NURS,OANI,OAR1,OATS,OCER,OCRO,OFAR,OFRU,OILS,OIND,OLIV,OOIL,OVEG,PARI,PERM,PIGF,PKPL,POTA,POUF,PULS,RAPE,ROOF,RUMI,RYEM,SCOW,SHGF,SHGM,SOWS,SOYA,SUGB,SUNF,SWHE,TABO,TAGR,TEXT,TOBA,TOMA,TWIN,UAAR
BE33,1000.0,582.450739064897,1000.0,141.992341717562,1000.0,1000.0,4149.60733764177,4149.60733764177,1000.0,4149.60733764177,674.234382054124,4149.60733764177,752.752826281492,1000.0,1000.0,391.4,166.053940889713,287.132837077146,287.132837077146,1000.0,,851.931457281394,1000.0,22.7604244409208,22.7604244409208,1000.0,1000.0,4149.60733764177,4149.60733764177,1291.25138921184,666.46127867847,24.2995861317704,1103.19741095158,1099.11440693052,1000.0,87.7611969227512,130.290534025892,1291.73417480408,55.7140991267666,846.008643432988,1000.0,1477.43156112305,,987.674684465695,413.229473805311,,1000.0,1297.46811732528,1000.0,151.963434189084,3165.49130028197,229.7,897.772413872033,16.9144011777358,1000.0,117.630240146871,164.765653050231,3847.7175330436,3075.12126763615,21.7584209441741,,26.3114808473237,,153.22609018528,,2579.197034397,404.31410513983,1883.88288336714,746.274185159991,2036.79896204865,1000.0
BE34,1000.0,582.450739064897,1000.0,141.992341717562,1000.0,1000.0,4149.60733764177,4149.60733764177,1000.0,4149.60733764177,674.234382054124,4149.60733764177,752.752826281493,1000.0,1000.0,391.4,166.053940889713,287.132837077146,287.132837077146,1000.0,,851.931457281394,1000.0,22.7751453844865,22.7751453844864,1000.0,1000.0,4149.60733764177,4149.60733764177,1291.25138921184,666.46127867847,24.2979050455613,1103.19741095158,1099.11440693052,1000.0,87.7611969227512,130.290534025892,,55.7201437461588,846.008643432988,1000.0,1477.43156112305,,,413.229473805311,,1000.0,1297.46811732528,1000.0,151.963434189084,3165.49130028197,229.7,897.772413872033,16.4023093757388,1000.0,117.630240146871,164.765653050231,3847.71753304361,3075.12126763615,21.7584209441741,,26.3114808473237,,153.22609018528,,2579.197034397,404.31410513983,,746.274185159991,2036.79896204865,1000.0
BE35,1000.0,582.450739064897,1000.0,141.992341717562,1000.0,1000.0,4149.60733764177,4149.60733764177,1000.0,4149.60733764177,674.234382054124,4149.60733764177,752.752826281493,1000.0,1000.0,391.4,166.053940889713,287.132837077146,287.132837077146,1000.0,,851.931457281394,1000.0,22.8383736272602,22.8383736272602,1000.0,1000.0,4149.60733764177,4149.60733764177,1291.25138921184,666.46127867847,24.329902329605,1103.19741095158,1099.11440693052,1000.0,87.7611969227512,130.290534025892,1291.73417480408,55.7592482851989,846.008643432988,1000.0,1477.43156112305,,987.674684465695,413.229473805311,,1000.0,1297.46811732528,1000.0,151.963434189084,3165.49130028197,229.7,897.772413872033,16.8076020982316,1000.0,117.630240146871,164.765653050231,3847.71753304361,3075.12126763615,21.7584209441741,,26.3114808473237,,153.22609018528,,2579.197034397,404.31410513983,1883.88288336714,746.274185159991,2036.79896204865,1000.0
CY00,1000.0,793.157907489103,1000.0,152.71551547253,1000.0,1000.0,4104.72199724088,4104.72199724088,1000.0,4104.72199724088,662.535087562878,4104.72199724088,736.931252805895,1000.0,1000.0,275.27022694867,,479.046989073089,479.046989073089,1000.0,194.152350228051,1366.55283047724,1000.0,39.4801015192998,39.4801015192998,1000.0,1000.0,4104.72199724088,4104.72199724088,1269.95082471821,1802.67189756797,87.3026521336554,1466.49703388731,1276.33447404038,1000.0,179.175954823102,134.617921215243,1305.00437792636,92.7294202421111,893.765410125671,1000.0,,754.933866612183,1399.07755839242,674.085519753777,,1000.0,1755.65130573636,1000.0,359.638935225568,2572.6090847463,234.71430792414,,178.327758442281,1000.0,,162.121082559112,5197.84158581355,1257.11611856196,28.8959257440789,,,,,995.796885247377,1989.25890403463,,2958.99021552396,783.821775879664,2591.67638106242,1000.0
CZ01,1000.0,255.084414351589,1000.0,148.965050543839,1000.0,1000.0,2851.41647756235,2851.41647756235,1000.0,2851.41647756235,464.686367906089,2851.41647756235,520.370518693766,1000.0,1000.0,391.4,147.927030390527,281.823698942277,281.823698942277,1000.0,,1364.40640164861,1000.0,9.29338519847961,9.29338519847961,1000.0,1000.0,2851.41647756235,2851.41647756235,885.660992153833,648.250977785943,29.3642152472016,1010.31526874241,1581.89065580347,1000.0,144.982724880363,125.487477150988,1366.26818451511,20.8540740408388,622.385349764763,1000.0,,,400.366207802157,458.751418711216,,1000.0,1460.0637115878,1000.0,125.134414342809,1117.32225887366,230.704531147494,396.770936132192,23.6723701287451,1000.0,146.343443308695,113.543286558297,1224.5483735876,324.398340014511,24.2771684014118,432.203870526592,30.2430598355043,338.093008922657,139.382329822677,,2525.6,130.200936496367,,725.444521867836,603.753602934559,1000.0
CZ02,1000.0,255.084414351589,1000.0,148.965050543839,1000.0,1000.0,2851.41647756235,2851.41647756235,1000.0,2851.41647756235,464.686367906089,2851.41647756235,520.370518693766,1000.0,1000.0,391.4,147.927030390527,281.823698942277,281.823698942277,1000.0,,1364.40640164861,1000.0,8.77517396097416,8.77517396097416,1000.0,1000.0,2851.41647756235,2851.41647756235,885.660992153833,648.250977785943,29.3012323913965,1010.31526874241,1581.89065580347,1000.0,144.982724880363,125.487477150988,1366.26818451511,20.8938171400233,622.385349764763,1000.0,1251.08004104506,,400.366207802157,458.751418711216,,1000.0,1460.0637115878,1000.0,125.134414342809,1117.32225887366,230.704531147494,396.770936132192,23.7186165203183,1000.0,146.343443308695,113.543286558297,1224.5483735876,324.398340014511,24.2771684014118,432.203870526592,30.2430598355043,338.093008922657,139.382329822677,,2525.6,130.200936496367,,725.444521867836,603.753602934559,1000.0
CZ03,1000.0,255.084414351589,1000.0,148.965050543839,1000.0,1000.0,2851.41647756235,2851.41647756235,1000.0,2851.41647756235,464.686367906089,2851.41647756235,520.370518693766,1000.0,1000.0,391.4,147.927030390527,281.823698942277,281.823698942277,1000.0,,1364.40640164861,1000.0,8.58561379684653,8.58561379684653,1000.0,1000.0,2851.41647756235,2851.41647756235,885.660992153833,648.250977785943,29.3470666596727,1010.31526874241,1581.89065580347,1000.0,144.982724880363,125.487477150988,1366.26818451511,20.8944859783046,622.385349764763,1000.0,1251.08004104506,,400.366207802157,458.751418711216,,1000.0,1460.0637115878,1000.0,125.134414342809,1117.32225887366,230.704531147494,396.770936132192,23.7462519351265,1000.0,146.343443308695,113.543286558297,1224.5483735876,324.398340014511,24.2771684014118,432.203870526592,30.2430598355043,338.093008922657,139.382329822677,,2525.6,130.200936496367,,725.444521867836,,1000.0
CZ04,1000.0,255.084414351589,1000.0,148.965050543839,1000.0,1000.0,2851.41647756235,2851.41647756235,1000.0,2851.41647756235,464.686367906089,2851.41647756235,520.370518693766,1000.0,1000.0,391.4,147.927030390527,281.823698942277,281.823698942277,1000.0,,1364.40640164861,1000.0,8.61618739215428,8.61618739215428,1000.0,1000.0,2851.41647756235,2851.41647756235,885.660992153833,648.250977785943,28.9952959380264,1010.31526874241,1581.89065580347,1000.0,144.982724880363,125.487477150988,1366.26818451511,20.9361944291124,622.385349764763,1000.0,1251.08004104506,,400.366207802157,458.751418711216,,1000.0,1460.0637115878,1000.0,125.134414342809,1117.32225887366,230.704531147494,396.770936132192,23.7658969102715,1000.0,146.343443308695,113.543286558297,1224.5483735876,324.398340014511,24.2771684014118,432.203870526592,30.2430598355043,338.093008922657,139.382329822677,,2525.6,130.200936496367,,725.444521867836,603.753602934559,1000.0
CZ05,1000.0,255.084414351589,1000.0,148.965050543839,1000.0,1000.0,2851.41647756235,2851.41647756235,1000.0,2851.41647756235,464.686367906089,2851.41647756235,520.370518693766,1000.0,1000.0,391.4,147.927030390527,281.823698942277,281.823698942277,1000.0,,1364.40640164861,1000.0,8.59369773229582,8.59369773229582,1000.0,1000.0,2851.41647756235,2851.41647756235,885.660992153833,648.250977785943,29.3227165035553,1010.31526874241,1581.89065580347,1000.0,144.982724880363,125.487477150988,1366.26818451511,20.9031275808783,622.385349764763,1000.0,1251.08004104506,,400.366207802157,458.751418711216,,1000.0,1460.0637115878,1000.0,125.134414342809,1117.32225887366,230.704531147494,396.770936132192,23.7885837605221,1000.0,146.343443308695,113.543286558297,1224.5483735876,324.398340014511,24.2771684014118,432.203870526592,30.2430598355043,338.093008922657,139.382329822677,,2525.6,130.200936496367,,725.444521867836,,1000.0
CZ06,1000.0,255.084414351589,1000.0,148.965050543839,1000.0,1000.0,2851.41647756235,2851.41647756235,1000.0,2851.41647756235,464.686367906089,2851.41647756235,520.370518693766,1000.0,1000.0,391.4,147.927030390527,281.823698942277,281.823698942277,1000.0,,1364.40640164861,1000.0,8.59535816710031,8.59535816710031,1000.0,1000.0,2851.41647756235,2851.41647756235,885.660992153833,648.250977785943,29.5379273904969,1010.31526874241,1581.89065580347,1000.0,144.982724880363,125.487477150988,1366.26818451511,20.8825826626329,622.385349764763,1000.0,1251.08004104506,,400.366207802157,458.751418711216,,1000.0,1460.0637115878,1000.0,125.134414342809,1117.32225887366,230.704531147494,396.770936132192,23.7927561965482,1000.0,146.343443308695,113.543286558297,1224.5483735876,324.398340014511,24.2771684014118,432.203870526592,30.2430598355043,338.093008922657,139.382329822677,,2525.6,130.200936496367,,725.444521867836,603.753602934559,1000.0
CZ07,1000.0,255.084414351589,1000.0,148.965050543839,1000.0,1000.0,2851.41647756235,2851.41647756235,1000.0,2851.41647756235,464.686367906089,2851.41647756235,520.370518693766,1000.0,1000.0,391.4,147.927030390527,281.823698942277,281.823698942277,1000.0,,1364.40640164861,1000.0,8.59841720538715,8.59841720538715,1000.0,1000.0,2851.41647756235,2851.41647756235,885.660992153833,648.250977785943,29.2564006235118,1010.31526874241,1581.89065580347,1000.0,144.982724880363,125.487477150988,1366.26818451511,20.8987968673092,622.385349764763,1000.0,1251.08004104506,,400.366207802157,458.751418711216,,1000.0,1460.0637115878,1000.0,125.134414342809,1117.32225887366,230.704531147494,396.770936132192,23.9400885308131,1000.0,146.343443308695,113.543286558297,1224.5483735876,324.398340014511,24.2771684014118,432.203870526592,30.2430598355043,338.093008922657,139.382329822677,,2525.6,130.200936496367,,725.444521867836,603.753602934559,1000.0
CZ08,1000.0,255.084414351589,1000.0,148.965050543839,1000.0,1000.0,2851.41647756235,2851.41647756235,1000.0,2851.41647756235,464.686367906089,2851.41647756235,520.370518693766,1000.0,1000.0,391.4,147.927030390527,281.823698942277,281.823698942277,1000.0,,1364.40640164861,1000.0,8.67382719745021,8.67382719745021,1000.0,1000.0,2851.41647756235,2851.41647756235,885.660992153833,648.250977785943,29.2372486573939,1010.31526874241,1581.89065580347,1000.0,144.982724880363,125.487477150988,1366.26818451511,20.9303350598908,622.385349764763,1000.0,1251.08004104506,,400.366207802157,458.751418711216,,1000.0,1460.0637115878,1000.0,125.134414342809,1117.32225887366,230.704531147494,396.770936132192,23.6230904778247,1000.0,146.343443308695,113.543286558297,1224.5483735876,324.398340014511,24.2771684014118,432.203870526592,30.2430598355043,338.093008922657,139.382329822677,,2525.6,130.200936496367,,725.444521867836,,1000.0
DE11,1000.0,429.124029657143,1000.0,131.538547216703,1000.0,1000.0,3450.69917036567,3450.69917036567,1000.0,3450.69917036567,558.848746343791,3450.69917036567,623.74340847877,1000.0,1000.0,391.4,154.588336671153,330.453985885238,330.453985885238,1000.0,172.400091308891,1104.147468754,1000.0,11.2225204779153,11.2225204779153,1000.0,1000.0,3450.69917036567,3450.69917036567,1071.40438570438,1193.06417025749,18.7965100773237,1180.79583633983,964.140796554829,1000.0,145.439382106935,124.994006541728,1259.10681180715,26.3717874503308,1619.934457441,1000.0,1258.72069210778,,299.342350170492,678.692351974299,,1000.0,1534.5330588206,1000.0,205.560457258785,1428.08544613956,140.240983270807,350.746237859626,27.213570698544,1000.0,116.080484818933,136.647620916547,6074.87377730163,796.48069830664,25.4304584807536,347.2156441623,28.3495851738923,273.578649232924,135.615092217009,,2525.6,265.854700200598,4316.18949320824,1433.97024392524,1967.93429288032,1000.0
DE12,1000.0,429.124029657143,1000.0,131.538547216703,1000.0,1000.0,3450.69917036567,3450.69917036567,1000.0,3450.69917036567,558.848746343791,3450.69917036567,623.74340847877,1000.0,1000.0,391.4,154.588336671153,330.453985885238,330.453985885238,1000.0,172.400091308891,1104.147468754,1000.0,12.0546009690058,12.0546009690058,1000.0,1000.0,3450.69917036567,3450.69917036567,1071.40438570438,1193.06417025749,19.5531797670291,1180.79583633983,964.140796554829,1000.0,145.439382106935,124.994006541728,1259.10681180715,29.1376518200044,1619.934457441,1000.0,1258.72069210778,,299.342350170492,678.692351974299,,1000.0,1534.5330588206,1000.0,205.560457258785,1428.08544613956,140.240983270807,350.746237859626,31.601165689325,1000.0,116.080484818933,136.647620916547,6074.87377730164,796.48069830664,25.4304584807536,347.2156441623,28.3495851738923,,135.615092217009,,2525.6,265.854700200598,4316.18949320824,1433.97024392524,1967.93429288032,1000.0
