model_region,activity,value
LU00,NURS,1540178.91609236
LU00,FLOW,39906758.4403868
LU00,OCRO,61734.7670490009
LU00,MAIF,99.0381907420707
LU00,ROOF,8589.88585573716
LU00,OFAR,260.549441913616
LU00,GRAE,9.73511960832914
LU00,GRAI,11.467873906289
LU00,PULS,1124.51003508931
LU00,POTA,5027.6652221687
LU00,SUGB,33513.0044971654
LU00,TEXT,4416.35578790889
LU00,TOMA,18396424.3874985
LU00,OVEG,5878.0788008201
LU00,APPL,116642.228598396
LU00,OFRU,314073.465985248
LU00,TAGR,14337170.372421
LU00,TWIN,1400049.64850677
LU00,FALL,1088592.08187404
LU00,VSET,193.052752206059
LU00,DCOL,255.464102867579
LU00,DCOH,373.446324707565
LU00,BULL,125.663900825482
LU00,BULH,192.565441869893
LU00,HEIL,1923.71097513433
LU00,HEIH,2889.980202208
LU00,SCOW,27.3354102851163
LU00,HEIR,43.2487795476722
LU00,CAMF,23.4084050275553
LU00,CAFF,116.133984393639
LU00,CAMR,44.4504951687922
LU00,CAFR,18.9147476426779
LU00,PIGF,0.856728162192784
LU00,SOWS,85.7179484888005
LU00,SHGM,63.6947410279058
LU00,SHGF,16.3405785086868
LU00,HENS,533632.026745095
LU00,POUF,10795.2037726818
LU00,OANI,1923451.50340331
BE21,SWHE,103.43250743355
BE21,RYEM,9634.667442162
BE21,BARL,1587.59748734443
BE21,OATS,42315.2211841943
BE21,CORN,128.729325696981
BE21,OCER,1652.70868523372
BE21,RAPE,56337.5345916087
BE21,OOIL,946601.530622611
BE21,OIND,2353331.17714045
BE21,NURS,3245165.0869486
BE21,FLOW,251953.636422289
BE21,OCRO,861892.618541283
BE21,MAIF,19.9269847378749
BE21,ROOF,1398.82736406272
BE21,OFAR,104.395571586693
BE21,GRAE,21.7721409027871
BE21,GRAI,25.9696584562873
BE21,PULS,16016.5741434428
BE21,POTA,1938.41826699984
BE21,SUGB,10304.8050017242
BE21,TEXT,15315.9444543274
BE21,TOMA,38459101.4650721
BE21,OVEG,12358.5258399143
BE21,APPL,599333.857225165
BE21,OFRU,535665.013672519
BE21,TAGR,29573490.0415224
BE21,TWIN,2909385.1432968
BE21,FALL,510980.558698644
BE21,VSET,572.592923812908
BE21,DCOL,161.412868148947
BE21,DCOH,237.229950451954
BE21,BULL,252.959618705672
BE21,BULH,382.280035925707
BE21,HEIL,2277.41490684568
BE21,HEIH,3443.44613760711
BE21,SCOW,51.3488102972241
BE21,HEIR,43.2008696823061
BE21,CAMF,6.9567736702461
BE21,CAFF,34.4881908089234
BE21,CAMR,61.958334825393
BE21,CAFR,26.3887903451861
BE21,PIGF,0.0839388835390342
BE21,SOWS,10.3097362507732
BE21,SHGM,35.2073307933367
BE21,SHGF,9.05147738759817
BE21,HENS,8661.20906444529
BE21,POUF,200.171105305145
BE21,OANI,315533.932264936
BE22,SWHE,78.5927932392577
BE22,RYEM,4912.82821075599
BE22,BARL,139.328457484632
BE22,OATS,11661.5467188793
BE22,CORN,98.6212850892982
BE22,OCER,400.840756356818
BE22,RAPE,101916.126191376
BE22,OOIL,47288.1619816657
BE22,OIND,386520.385405248
BE22,NURS,843498.858859913
BE22,FLOW,698377.612528632
BE22,OCRO,602029.882979639
BE22,MAIF,14.7904730525799
BE22,ROOF,3218.62078706795
BE22,OFAR,490.157127727886
BE22,GRAE,25.5474259802561
BE22,GRAI,31.6535473617147
BE22,PULS,8003.78621519036
BE22,POTA,4290.59644878028
BE22,SUGB,609.021807678773
BE22,TEXT,3991.856733564
BE22,TOBA,2550314.16479764
BE22,TOMA,10016458.5739394
BE22,OVEG,3260.81539274033
BE22,APPL,163287.4097782
BE22,OFRU,148543.164230998
BE22,TAGR,7722628.39201503
BE22,TWIN,764632.936363151
BE22,FALL,531408.937286454
BE22,VSET,386.132819003844
BE22,DCOL,353.037012592738
BE22,DCOH,518.292607831685
BE22,BULL,350.706622812621
BE22,BULH,530.46966316749
BE22,HEIL,3487.24320386689
BE22,HEIH,5281.59034629593
BE22,SCOW,54.6765637224424
BE22,HEIR,77.272143716866
BE22,CAMF,28.0219473440147
BE22,CAFF,138.224375531101
BE22,CAMR,67.9109899057801
BE22,CAFR,28.9137312750301
BE22,PIGF,0.206384356915874
BE22,SOWS,24.4710724079203
BE22,SHGM,85.1378732514031
BE22,SHGF,21.7777432373274
BE22,HENS,22067.8961979836
BE22,POUF,506.320572093431
BE22,OANI,752758.649435431
BE23,SWHE,36.2968676025428
BE23,RYEM,10567.5447564608
BE23,BARL,150.485217228022
BE23,OATS,9213.4881757926
BE23,CORN,67.2781593085173
BE23,OCER,150.113405277556
BE23,RAPE,27850.1598374061
BE23,OOIL,110347.849988494
BE23,OIND,1327837.06449327
BE23,NURS,1101446.54944369
BE23,FLOW,191219.410101272
BE23,OCRO,100568.002258332
BE23,MAIF,48.6889019752132
BE23,ROOF,964.375708621538
BE23,OFAR,170.472346059295
BE23,GRAE,13.2560523581365
BE23,GRAI,15.9976205506352
BE23,PULS,6600.06726388983
BE23,POTA,1811.38415435779
BE23,SUGB,1125.53964322647
BE23,TEXT,5254.97498578826
BE23,TOBA,9092193.2225788
BE23,TOMA,13077863.5825806
BE23,OVEG,4223.88153899283
BE23,APPL,205890.239248005
BE23,OFRU,185667.235863197
BE23,TAGR,10119292.7555239
BE23,TWIN,988351.956933802
BE23,FALL,621255.633777461
BE23,VSET,500.762908135347
BE23,DCOL,158.635102829569
BE23,DCOH,231.736687742139
BE23,BULL,83.3598781637989
BE23,BULH,126.052299283251
BE23,HEIL,1074.82605385301
BE23,HEIH,1626.03207042552
BE23,SCOW,14.343567562012
BE23,HEIR,29.6688053811803
BE23,CAMF,15.0785729683575
BE23,CAFF,74.9252201967978
BE23,CAMR,39.6717383173516
BE23,CAFR,16.8917611934975
BE23,PIGF,0.0844929851616561
BE23,SOWS,10.1816176884307
BE23,SHGM,42.8373759708959
BE23,SHGF,11.0128460299508
BE23,HENS,16616.4959038614
BE23,POUF,379.723914061592
BE23,OANI,303486.300414302
BE24,SWHE,99.3564145654834
BE24,RYEM,99685.8373660924
BE24,BARL,86.0751036897183
BE24,OATS,2085.58709914375
BE24,CORN,97.2957377954581
BE24,OCER,598.5000126773
BE24,RAPE,11618.6340170611
BE24,OOIL,439277.040689188
BE24,OIND,723078.794138274
BE24,NURS,1330444.65882811
BE24,FLOW,1530389.99442435
BE24,OCRO,1203460.63444696
BE24,MAIF,56.0094790958835
BE24,ROOF,3303.08757822088
BE24,OFAR,644.726595240715
BE24,GRAE,26.7783875761348
BE24,GRAI,33.4194052866542
BE24,PULS,4313.12146211224
BE24,POTA,2230.22783835706
BE24,SUGB,359.252731180703
BE24,TEXT,6242.78880661874
BE24,TOBA,12466721.3133808
BE24,TOMA,15781452.059512
BE24,OVEG,5070.24022956499
BE24,APPL,250041.070628623
BE24,OFRU,223370.136360468
BE24,TAGR,12095149.2702696
BE24,TWIN,1200291.27698544
BE24,FALL,490393.945186884
BE24,VSET,197.599025165569
BE24,DCOL,734.880443272162
BE24,DCOH,1075.46261971092
BE24,BULL,312.132850401512
BE24,BULH,471.724113390554
BE24,HEIL,3308.55295114325
BE24,HEIH,5005.83273033907
BE24,SCOW,38.1921241260734
BE24,HEIR,94.8284645218301
BE24,CAMF,38.9796713700906
BE24,CAFF,191.506542271955
BE24,CAMR,66.2018524600632
BE24,CAFR,28.2059574979224
BE24,PIGF,0.534080229223204
BE24,SOWS,64.3420423452258
BE24,SHGM,104.197622874357
BE24,SHGF,26.4657880391413
BE24,HENS,99560.6951303334
BE24,POUF,2305.72171926815
BE24,OANI,1719485.3342697
BE25,SWHE,22.1787506824199
BE25,RYEM,63747.8600776699
BE25,BARL,111.890595475708
BE25,OATS,8657.83904070391
BE25,CORN,41.3790504806354
BE25,OCER,266.012559247537
