model_region,BULF,BULH,BULL,CAFF,CAFR,CALV,CAMF,CAMR,CATA,DCOH,DCOL,DCOW,GOAT,HEIF,HEIH,HEIL,HEIR,HENS,PIGF,PIGS,POUF,POUL,SCOW,SHEP,SHGF,SHGM,SHGT,SOWS
DE11,14.7019684496852,9.50849891933697,5.19346953034821,1.59339900339425,49.4184991805003,93.2355505560298,4.65526288408648,37.5683894880488,285.028205390447,47.224744139926,47.224744139926,94.4494882798519,,5.54778359434586,3.97652037376395,1.57126322058191,60.3040429809491,0.856696145591786,604.052939379477,1061.37438373902,2.01254534805646,2.86924149364824,16.789371529585,,32.5654856981787,63.6852929322102,96.2507786303889,107.800608927883
DE12,7.79482977991979,5.34472357519379,2.450106204726,0.765744880363549,22.0170009033785,41.8365658351884,2.31601226436039,16.737807787086,91.3039378676548,8.71194739570067,8.71194739570067,17.4238947914013,,2.39553198455371,1.83650438138591,0.559027603167799,14.9232514992405,0.0621862396829496,55.8120742273232,88.8077431066821,0.112155802166062,0.174342041849012,6.92986397735103,,13.654720374225,26.7033716922574,40.3580920664824,7.77732730030516
DE13,30.3479291279609,20.6550576670965,9.69287146086446,1.20821739735161,34.7362884422959,66.0056087778518,3.65428199264426,26.4068209455601,237.589628108942,31.9945297404203,31.9945297404203,63.9890594808406,,5.85841236300118,4.36967451504003,1.48873784796116,42.7591487546018,0.0917717782261281,83.4762609151318,131.315025478447,0.244403123098871,0.336174901324999,28.6294696046856,,20.8626060817435,40.7991539516928,61.6617600334362,11.2763661964077
DE14,37.6454765619365,22.5882939127056,15.0571826492309,1.1549001846021,47.0877451515018,86.6823273634965,3.37414887371921,35.0655331536733,393.180670972028,83.5664628080069,83.5664628080073,167.132925616014,,7.61663416253807,5.2731495439005,2.34348461863757,86.8088261825763,0.435603822990462,397.958498162019,641.772424181714,1.0573927630766,1.49299658606706,7.29448108546631,,25.9139904932737,50.6777446300922,76.5917351233658,57.4722555691389
DE21,60.4174811688721,36.2536316931858,24.1638494756863,2.81548772480578,85.4409280135028,161.64970923698,8.4424792901079,64.9508142085638,854.6921452832,186.910729118801,186.910729118802,373.821458237603,,35.1301538499184,24.860616460539,10.2695373893793,208.441910829639,0.686863652431349,267.334985133174,446.609859972895,1.6140061405626,2.30086979299395,15.2314319601873,,21.6616724136415,42.3790709259958,64.0407433396374,42.2612518075074
DE22,51.9243876881913,31.1571147045167,20.7672729836746,1.85797684577342,56.7632429880394,107.380390041859,5.60897547147565,43.1501947365701,416.439287349112,72.9200958016509,72.9200958016508,145.840191603302,,14.585478096571,10.6531497190059,3.9323283775651,85.1885451218428,1.80329174725055,718.310502388326,1069.54192939108,4.14918014475747,5.95247189200803,11.5202947973462,,16.0772371314472,31.4536839396531,47.5309210711003,82.794144561479
DE23,19.7988063911215,11.9696405206422,7.82916587047933,1.46673360971985,44.8130142040853,84.7740234265969,4.42785584574838,34.0664197670434,390.809957059909,81.7205159119607,81.7205159119605,163.441031823921,,13.8647524484744,10.2259093931841,3.63884305529039,93.7244649195168,0.739301515533953,168.412605723014,277.059379412263,1.68936236856534,2.4286638840993,15.2068780502781,,12.5335988997472,24.5197509762354,37.0533498759826,25.6116749557243
DE24,6.58990192653564,3.95459699041344,2.6353049361222,1.25106623038197,35.2226169010363,66.3554689609826,3.64824926634359,26.2335365632208,224.96032370434,42.5004091102057,42.5004091102056,85.0008182204113,,8.57231698154889,5.93138742216671,2.64092955938218,50.5364344262855,0.125476147449162,155.585216627597,247.665686861152,0.265767925233999,0.391244072683161,7.90538318857649,,11.6102467041355,22.7134390881235,34.323685792259,21.7064227089849
DE25,26.6097919110038,15.9675398757936,10.6422520352102,1.2670475826282,37.4787170873609,70.9398884069219,3.70318141324327,28.4909423236896,277.119670093223,48.5041577701458,48.5041577701458,97.0083155402916,,11.2896180051016,7.92947924617553,3.36013875892608,62.8378339027159,,327.237718384087,505.968034485833,,,8.43422232718777,,18.4697412550384,36.1343991605235,54.6041404155619,42.132850262715
DE26,11.1166216279461,6.99175526779779,4.12486636014834,1.69611553960084,37.4836831344769,72.6209771757055,4.94606059034191,28.4951179112859,142.879262901061,15.4313314410639,15.4313314410639,30.8626628821278,,4.6851122385332,3.27836896274306,1.40674327579014,18.1639817779209,0.0648322907556094,213.506643934493,372.563373708789,0.147576559593382,0.212408850348991,5.42990719882751,,19.0828848634821,37.3335197584995,56.4164046219816,37.4950600912081
