model_region,FCER,FCOM,FEED,FGRA,FMAI,FMIL,FOFA,FOTH,FPRO,FROO,FSGM,FSTR
FRC1,47169.94477632736,3973.8691976975106,16068.085512891836,199822.10438660564,23014.781743748892,4056.614779755013,45281.91541504668,2168.5766441211385,23958.194054618845,368.83780203519024,29.97450945696141,2582.213598683854
FRC2,49479.05892754297,1233.5753912441305,15569.238785402433,186061.70333302222,24612.359911810883,3919.1362489029325,42430.51803114311,2168.2906249123885,19666.24922538629,1157.1644682959477,27.452414460325475,2508.3760780387415
FRD1,48880.90923531069,1994.6693348478525,16203.792598564196,127024.91465414994,98734.8100740739,3945.3546730636745,31968.742688137925,2269.482168914179,32605.693422894135,2167.044333462591,24.166810486865877,2920.3939504558098
FRD2,47143.391267746716,1677.2456656786858,15102.69731021549,122877.89689660119,78351.23372423576,3955.737232486774,19987.906889278598,2193.0778357401655,22518.49162585409,9684.881934774541,25.205891394703116,2706.8887474811577
FRE1,45876.09256333243,1664.4692504797902,14398.944192410077,101410.814856544,111501.76419492064,3938.79306403549,15008.268109135868,2214.191061953464,21517.799854058612,7434.725703281495,23.772936675162594,2762.27088403764
FRE2,46584.1176958526,1166.178203708683,15070.961642852779,99547.73244785615,82266.31942071744,4051.7687958178535,22682.62834303815,2190.6164565775516,23754.673691674467,4992.163952799145,26.012381185740647,2691.0773178897152
FRF1,44536.36572696378,1069.841253524927,14722.036348415719,142906.09674112053,65524.15153937819,3949.029639394151,34067.18477629509,2133.68994803183,18205.69882513877,696.4803950065665,25.86167773900584,2432.9602479211735
FRF2,47240.37370652769,1441.192310351299,15546.15217729943,110371.17537415869,52859.578085945635,4075.0173173458697,55487.76961016011,2168.25780844415,21743.42575415612,1149.942491253244,26.917381278923116,2603.9543013969883
FRF3,47936.998428296494,1979.6108955299264,15281.688220892365,145116.09322807912,73727.08264573445,3974.209837116588,27252.08733042066,2227.235549407122,22375.87499265012,250.0489098036605,33.32681864674384,2694.736897433486
FRG0,44843.78101905468,2878.5841330222597,17218.142325928646,71173.53320584979,101554.82126952807,4024.943290320318,86462.1743672056,2338.294047558451,44246.95691281331,1780.2316228240084,24.790373008719357,3122.1548941339947
FRH0,47020.162457715414,1521.3478936364502,17511.999351412884,24423.454730668695,134860.74150745597,3975.7339069418067,90797.8699091401,2336.225837195393,59505.58904540942,2091.0627952790987,23.106693389839517,3165.555957473662
FRI1,43989.01504818658,2507.8344836664305,16375.025926812825,151622.77501198326,38966.75068886197,4064.125432107949,90114.40909669155,2141.349286106744,20821.182140280333,449.02886353379927,36.65678932587079,2744.693987978598
FRI2,47232.3001890135,6268.259407757458,15766.996037643725,161815.519964397,22779.03783418799,3959.188986944583,78379.62552572899,2175.919361618354,18573.98228187124,206.5481439486766,38.412951480095316,1433.2821511426
FRI3,44740.300324864176,2304.3384718024845,15828.993741281936,61967.116907263706,52418.62595407925,4078.3253515630154,106526.77739857513,2195.1882420895668,21129.31713801101,1445.7692101741247,38.4764123285462,2621.3598747976343
FRJ1,43729.53744626808,1704.0140259704724,15378.84904532509,240232.08779910993,951.9113434479616,4124.927500779084,42159.98891962961,2118.970383776812,15020.512743287785,250.43045649435987,43.277456603963586,2440.941418606432
