model_region,activity,nutrient,value
AT12,PULS,K2O,37.9039031186265
AT12,POTA,N,142.90790142712
AT12,POTA,P2O5,57.1631605708482
AT12,POTA,K2O,244.984973875064
AT12,SUGB,N,321.294859383498
AT12,SUGB,P2O5,178.497144101943
AT12,SUGB,K2O,280.0
AT12,TEXT,N,21.7044320086147
AT12,TEXT,P2O5,57.878485356306
AT12,TEXT,K2O,108.522160043074
AT12,TOBA,N,183.157691455574
AT12,TOBA,P2O5,24.4210255274098
AT12,TOBA,K2O,274.73653718336
AT12,TOMA,N,400.0
AT12,TOMA,P2O5,284.528319696413
AT12,TOMA,K2O,243.881416882639
AT12,OVEG,N,146.145089051543
AT12,OVEG,P2O5,51.1507811680402
AT12,OVEG,K2O,43.843526715463
AT12,APPL,N,78.9780347165943
AT12,APPL,P2O5,21.5394640136166
AT12,APPL,K2O,114.877141405955
AT12,OFRU,N,88.3276739265247
AT12,OFRU,P2O5,17.6655347853049
AT12,OFRU,K2O,75.078522837546
AT12,TWIN,N,21.659667074273
AT12,TWIN,P2O5,15.0
AT12,TWIN,K2O,35.3394568053927
AT12,GRAS,N,95.8350991244988
AT12,GRAS,P2O5,34.8243999698195
AT12,GRAS,K2O,81.2569332629121
AT12,GROF,N,111.477395736575
AT12,GROF,P2O5,30.2187880369935
AT12,GROF,K2O,56.3565983689092
AT12,INTF,N,42.0529594209712
AT12,INTF,P2O5,21.4552638520476
AT12,INTF,K2O,46.4541273275481
AT12,NETF,N,69.4244363156033
AT12,NETF,P2O5,8.76352418494596
AT12,NETF,K2O,9.90247104136104
AT12,NH3HOU,N,4.81319648100023
AT12,NH3STO,N,1.27736368414672
AT12,NH3GRA,N,0.763480315165825
AT12,NH3MIN,N,1.88700545148768
AT12,NH3APP,N,4.29805820142745
AT12,EXPPRD,N,129.430977998921
AT12,EXPPRD,P2O5,57.7857635383015
AT12,EXPPRD,K2O,96.3303678965991
AT12,ATMOSD,N,19.3744184810455
AT12,CRESID,N,39.6666916253174
AT12,CRESID,P2O5,19.1048990876579
AT12,CRESID,K2O,48.0197695355067
AT12,BIOFIX,N,6.80866225678854
AT12,MINFER,N,78.1255491538566
AT12,MINFER,P2O5,9.86187538289207
AT12,MINFER,K2O,11.1435688806971
AT12,GASMIN,N,2.96587284400377
AT12,RUNMIN,N,1.43831945159021
AT12,GASRES,N,0.638199303589886
AT12,SURSOI,N,27.0375790949385
AT12,SURSOI,P2O5,-5.59230811571808
AT12,SURSOI,K2O,5.07648632045262
AT12,SURTOT,N,47.307164720205
AT12,SURTOT,P2O5,-4.84634819219918
AT12,SURTOT,K2O,6.549872479535
AT12,LEACHI,N,1.9765011069982
AT12,DENITR,N,25.0610779879403
AT12,EXCRET,N,44.6811463306679
AT12,EXCRET,P2O5,26.2150408702186
AT12,EXCRET,K2O,51.6126771713512
AT12,MTRADE,N,11.9183251285499
AT12,MTRADE,P2O5,2.24239999466629
AT12,MTRADE,K2O,7.89577521142085
AT12,GASANI,N,13.978955483451
AT12,NH3TOT,N,13.0391041332279
AT12,GASTOT,N,16.9448283274547
AT12,RUNTOT,N,2.68655799422184
AT12,RUNTOT,P2O5,0.745959923518901
AT12,RUNTOT,K2O,1.47338615908238
AT12,RUNANI,N,1.24823854263163
AT12,RUNANI,P2O5,0.745959923518901
AT12,RUNANI,K2O,1.47338615908238
AT12,IMPORT,N,176.738142719126
AT12,IMPORT,P2O5,52.9394153461023
AT12,IMPORT,K2O,102.880240376134
AT12,EROSOI,P2O5,1.74481186972995
AT12,ARAB,N,135.543897827032
AT12,ARAB,P2O5,61.9636859305918
AT12,ARAB,K2O,99.0730464791269
AT12,CERE,N,143.194271387876
AT12,CERE,P2O5,65.1008563631559
AT12,CERE,K2O,97.168110719093
AT12,PERM,N,64.5349101634067
AT12,PERM,P2O5,31.8737720291795
AT12,PERM,K2O,51.3493111404097
AT12,FODD,N,114.002752286974
AT12,FODD,P2O5,45.0954416990809
AT12,FODD,K2O,101.649590680172
AT12,OILS,N,149.170050384149
AT12,OILS,P2O5,65.8986417009329
AT12,OILS,K2O,69.4429866820381
AT12,OAR1,N,220.047603444555
AT12,OAR1,P2O5,108.512674547866
AT12,OAR1,K2O,208.607175723738
AT12,AGGT,N,79.1228628048013
AT12,AGGT,P2O5,35.3251988913344
AT12,AGGT,K2O,58.8880235694576
AT12,UVAP,N,868.442990029324
AT12,UVAP,P2O5,1216.92145489874
AT12,UVAP,K2O,521.765800505071
AT12,UVAB,N,868.442990029324
AT12,UVAB,P2O5,1216.92145489874
AT12,UVAB,K2O,521.765800505071
AT12,UVAG,N,869.488960596043
AT12,UVAG,P2O5,1216.88402393197
AT12,UVAG,K2O,521.423949378288
AT12,EAAP,N,60.2911650550229
AT12,EAAP,P2O5,10.6645206011847
AT12,EAAP,K2O,5.16677072987403
AT12,EAAB,N,60.2911650550229
AT12,EAAB,P2O5,10.6645206011847
AT12,EAAB,K2O,5.16677072987403
AT12,EAAG,N,96.9283649489479
AT12,EAAG,P2O5,36.772760384804
AT12,EAAG,K2O,29.3856800950426
AT12,UAAR,N,129.430977998938
AT12,UAAR,P2O5,57.7857635383103
AT12,UAAR,K2O,96.3303678966088
AT12,CORF,N,0.969235477548805
AT12,CORF,P2O5,0.588487045640277
AT12,CORF,K2O,0.658358236968173
AT21,SWHE,N,145.462385000762
AT21,SWHE,P2O5,63.033700166997
AT21,SWHE,K2O,123.643027250648
AT21,DWHE,N,125.777092562124
AT21,DWHE,P2O5,48.4474726905958
AT21,DWHE,K2O,99.6899918825722
AT21,RYEM,N,102.77999871337
AT21,RYEM,P2O5,51.9483224484202
AT21,RYEM,K2O,107.780631621956
AT21,BARL,N,121.420339606366
AT21,BARL,P2O5,61.0919947704985
AT21,BARL,K2O,119.834297434439
AT21,OATS,N,86.7244027039582
AT21,OATS,P2O5,41.1240348533247
AT21,OATS,K2O,93.8938140898919
AT21,CORN,N,341.179129870201
AT21,CORN,P2O5,163.733235690558
AT21,CORN,K2O,102.333272306599
AT21,OCER,N,114.736414634187
AT21,OCER,P2O5,37.3950544193057
AT21,OCER,K2O,77.5860007578118
AT21,RAPE,N,142.862500234256
AT21,RAPE,P2O5,77.9250001277762
AT21,RAPE,K2O,43.2916667376534
AT21,SUNF,N,94.5957951287221
AT21,SUNF,P2O5,54.0547400735555
