region,group1,group2,coef
BL330000,NOCR,CER2,0.0
BL330000,NOCR,OILS,0.0
BL330000,NOCR,OARA,0.0
BL330000,NOCR,FARA,0.0
BL330000,NOCR,NOCR,428.6441260441458
BL340000,CERE,CERE,6.559068197680937
BL340000,CERE,CER2,-95.59833353064218
BL340000,CERE,OILS,0.0
BL340000,CERE,OARA,0.0
BL340000,CERE,FARA,20.58425528422803
BL340000,CERE,NOCR,0.0
BL340000,CER2,CERE,0.0
BL340000,CER2,CER2,1393.344559344968
BL340000,CER2,OILS,0.0
BL340000,CER2,OARA,0.0
BL340000,CER2,FARA,-299.9910152112082
BL340000,CER2,NOCR,0.0
BL340000,OILS,CERE,0.0
BL340000,OILS,CER2,0.0
BL340000,OILS,OILS,0.0
BL340000,OILS,OARA,0.0
BL340000,OILS,FARA,0.0
BL340000,OILS,NOCR,0.0
BL340000,OARA,CERE,0.0
BL340000,OARA,CER2,0.0
BL340000,OARA,OILS,0.0
BL340000,OARA,OARA,0.0
BL340000,OARA,FARA,0.0
BL340000,OARA,NOCR,0.0
BL340000,FARA,CERE,0.0
BL340000,FARA,CER2,0.0
BL340000,FARA,OILS,0.0
BL340000,FARA,OARA,0.0
BL340000,FARA,FARA,70.87710721437601
BL340000,FARA,NOCR,0.0
BL340000,NOCR,CERE,0.0
BL340000,NOCR,CER2,0.0
BL340000,NOCR,OILS,0.0
BL340000,NOCR,OARA,0.0
BL340000,NOCR,FARA,0.0
BL340000,NOCR,NOCR,0.0
BL350000,CERE,CERE,1.794623029765604
BL350000,CERE,CER2,0.0
BL350000,CERE,OILS,7.646348119618121
BL350000,CERE,OARA,-26.69680934924479
BL350000,CERE,FARA,-10.8089327230226
BL350000,CERE,NOCR,-23.68908031164962
BL350000,CER2,CERE,0.0
BL350000,CER2,CER2,0.0
BL350000,CER2,OILS,0.0
BL350000,CER2,OARA,0.0
BL350000,CER2,FARA,0.0
BL350000,CER2,NOCR,0.0
BL350000,OILS,CERE,0.0
BL350000,OILS,CER2,0.0
