,DCOW,SCOW,COWS,BULL,HEIF,CALV,PIGS,SOWS,HENS,POUL,SHGO
DEA2,97.2958909787287,12.6680210479751,113.66878645770664,2.05501809086263,4.46175023655457,59.8141130416383,636.6851833109845,43.692164525233146,0.298043929807813,0.863185505129398,26.37805379972966
DEA3,100.422893692075,11.5115056176548,113.66878645770664,38.6516391691686,4.99157640685382,83.589702138949,4465.89187478853,349.404235638594,1.29178603659491,4.31130728422059,26.37805379972966
DEA4,45.3600743125571,10.5198524422573,113.66878645770664,8.10260527522004,2.85422377672958,70.1509065981106,1446.86241198243,94.8446254179214,1.30878269477584,4.34675734632321,26.37805379972966
DEA5,61.4643910266361,20.4858141155497,113.66878645770664,11.7006496722874,4.82272215812561,50.6627727313551,735.518650486302,59.5758347747364,0.599907964243692,1.94559824546578,26.37805379972966
DEB1,30.4678502298231,19.1048460034281,113.66878645770664,2.6506755950469,4.5071143810144,51.295990233334,636.6851833109845,43.692164525233146,0.174246887000938,0.588299619520875,26.37805379972966
DEB2,71.9649236310333,12.8115927518283,113.66878645770664,5.29533251024117,3.97455956489205,36.0334975204805,83.3687891068759,5.25494228910336,0.0899505348282915,0.286738234848205,26.37805379972966
DEB3,9.94930933096032,7.6054467506354,113.66878645770664,1.56621922548429,1.24703748846001,51.0823621690416,55.9261261664935,8.10129437247961,0.376574534323969,1.20808201715036,26.37805379972966
DEC0,14.0014689904833,5.84369848226179,59.30136844170953,1.56606147865115,1.86502246600164,15.2589524246631,3.35886623732193,0.167204061327549,0.054180081664467,0.164120423418917,13.761514800151623
DED2,98.03598951895634,15.6325525617464,113.66878645770664,2.1681127784991805,0.9347420398736884,85.17467218130604,636.6851833109845,43.692164525233146,1172.7652416611322,3161.016545298344,26.37805379972966
DED4,98.03598951895634,15.6325525617464,113.66878645770664,2.1681127784991805,0.9347420398736884,85.17467218130604,636.6851833109845,43.692164525233146,1172.7652416611322,3161.016545298344,26.37805379972966
DED5,98.03598951895634,15.6325525617464,113.66878645770664,2.1681127784991805,0.9347420398736884,85.17467218130604,636.6851833109845,43.692164525233146,1172.7652416611322,3161.016545298344,26.37805379972966
DEE0,119.634902504534,30.7694330006679,261.04434101770045,6.26283213278242,6.17333259780278,236.273886249882,1518.09818958208,183.782790441865,4.65743008924868,15.3340524600693,60.57812250896098
DEF0,394.634115617911,39.8205484420736,170.37458804428437,31.7233518053847,23.3919010769484,214.047887053895,1482.78534707024,117.405077791653,0.919952110980695,3.13636248715905,39.53723963799924
DEG0,103.255496763858,38.6310937137694,191.8499759275109,7.89958746026972,3.04712641388774,151.649544486252,936.850110188614,110.240395419544,1.42803640309474,4.81662437106172,44.52083236039173
FR10,5.84796803780825,6.05365657774092,259.46906703879694,0.332744960756011,0.937162708463517,92.1662556898255,10.7152846473133,1.17891768746061,0.470806032835216,1.41897622690107,221.19065163838607
FRB0,59.4241222112008,204.341472826156,593.9959957276413,7.91982878342993,20.3657238594913,391.81375017676,358.439165741057,33.3285251297001,2.70076144470128,8.33209748448182,506.3661840890788
FRC1,54.3729957845107,481.074066336183,396.4132757504121,21.7652285293657,54.8843829800037,327.260394443847,131.82362948741,14.1132182700711,1.22894988553346,3.78926541799189,337.9320386126418
FRC2,208.779038892702,50.1304483326219,259.46906703879694,8.63870252556849,26.3289754143533,125.868016248197,101.233315359882,7.62964390665276,0.108248977718802,0.33290067076612,221.19065163838607
FRD1,453.411748669975,173.049738469555,358.5308427378171,44.4205087561198,46.2992051635326,241.945261705833,587.008061016511,50.4186386298675,1.41687771775998,4.35448306158805,305.6382467578675
FRD2,124.092740510485,89.027220958505,259.46906703879694,15.3253929824346,19.3010903003429,141.695812488422,160.093559350083,14.317669492101,0.654936030207327,1.97673003140789,221.19065163838607
