region,SWHE,DWHE,RYEM,BARL,OATS,CORN,OCER,POTA,SUGB,SUNF,RAPE,SOYA,OOIL,PULS,TOMA,OVEG,APPL,OFRU,CITR,TAGR,WINE,OLIV,TOBA,COTT,OFIB,GRAS,MAIF,OFOD,SETA,DCOW,BCOW,BULL,HFRS,CALV,SHGP,PIGS,PIGF,LAYS,BROI,OANI
FI19,1100.62271436222,398.72,1195.92450698746,1066.28402164322,951.549777628837,610.88,2085.83874872535,2955.69989342886,1360.06214737287,429.71,910.637833583219,641.29,510.148373231723,1210.45458548694,55036.0619591566,8156.85625630726,12149.7806724884,38274.1945296942,1018.62,1312.98,1312.98,1018.62,1018.62,1018.62,485.23,663.146391184255,485.23,485.23,485.23,1840.48297164936,415.74,865.079317603555,311.81,207.87,51.97,218.42,129.354244668047,10.19,5.1,3384.70304715552
FI1B,370.68,360.41,309.16,335.91,247.3,552.19,360.58,1684.6,789.75,388.42,554.77,579.67,239.61,309.41,10824.03,10824.03,1018.62,1018.62,1018.62,1312.98,1312.98,1018.62,1018.62,1018.62,485.23,485.23,485.23,485.23,485.23,1067.45,415.74,363.78,311.81,207.87,51.97,218.42,218.42,10.19,5.1,300.0
FI1C,417.59,406.02,348.28,378.42,278.6,622.06,406.21,1897.78,889.69,437.57,624.97,653.02,269.94,348.57,10824.03,10824.03,1018.62,1018.62,1018.62,1312.98,1312.98,1018.62,1018.62,1018.62,485.23,485.23,485.23,485.23,485.23,1067.45,415.74,363.78,311.81,207.87,51.97,218.42,218.42,10.19,5.1,300.0
FI1D,417.3,405.74,348.04,378.16,278.41,621.63,405.93,1896.47,889.07,437.27,624.54,652.57,269.75,348.33,10824.03,10824.03,1018.62,1018.62,1018.62,1312.98,1312.98,1018.62,1018.62,1018.62,485.23,485.23,485.23,485.23,485.23,1067.45,415.74,363.78,311.81,207.87,51.97,218.42,218.42,10.19,5.1,300.0
FI20,1203.72903655509,378.99,1594.77656612947,1226.86740993434,1075.37951058909,580.65,2256.70474934413,2487.84141347185,1255.16017910349,408.44,1237.92743057748,609.55,347.51108204792,742.625322191382,59410.5848754168,8293.86737361362,11913.1708407168,37884.067616213,1018.62,1312.98,1312.98,1018.62,1018.62,1018.62,485.23,767.329619901041,485.23,485.23,485.23,1436.52156545776,415.74,808.953161650134,311.81,207.87,51.97,218.42,114.611633818647,10.19,5.1,3280.2784212059
AT11,598.96271342314,477.652800111262,459.905774751534,553.486815710799,441.21495459168,1266.29941350802,638.398872224742,2630.22128373655,975.174187820774,1006.79781519996,1399.71726158235,1223.22439949516,262.798920453653,694.958699911744,6303.2167739717,4521.29169992721,7044.16804836036,27028.4573874383,1018.62,1312.98,1312.98,1018.62,6551.55857940969,1018.62,485.23,366.231489503217,1017.14025564235,485.23,485.23,1580.62221887105,415.74,946.057276886941,311.81,207.87,51.97,218.42,133.750648800212,10.19,5.1,695.490772919857
AT12,652.15577263314,583.29593657399,543.004843078446,565.968356822935,438.596769272462,1429.1686858932,615.010200029692,2179.25902479149,1010.70877260002,1055.14982858609,1501.66213035951,1360.76392933307,280.359705700392,737.679707587054,8709.76663023117,4690.23414568836,8436.68250764905,36850.1898120243,1018.62,1312.98,1312.98,1018.62,10044.5168316875,1018.62,485.23,439.802393111736,1179.29257260107,485.23,485.23,1533.51301790014,415.74,923.196429732063,311.81,207.87,51.97,218.42,137.124418623154,10.19,5.1,695.315591850589
AT13,411.85,400.43,343.49,373.21,274.77,613.51,400.62,1871.68,877.45,431.55,616.38,644.04,266.22,343.77,10824.03,10824.03,1018.62,1018.62,1018.62,1312.98,1312.98,1018.62,1018.62,1018.62,485.23,485.23,485.23,485.23,485.23,1067.45,415.74,363.78,311.81,207.87,51.97,218.42,218.42,10.19,5.1,300.0
AT21,833.365668570879,643.951562950557,679.74729948663,729.208143277422,495.595682904618,1885.08084237179,745.356157659005,1631.30186029104,944.722505355305,1001.59493382334,1526.88765290451,1545.50824638628,245.071207811077,1073.41537639357,6302.72417240407,4438.44011368497,7562.2528502059,31311.7328734414,1018.62,1312.98,1312.98,1018.62,6547.21316779884,1018.62,485.23,390.080807183642,1122.63199220235,485.23,485.23,1449.01231305445,415.74,939.271418498337,311.81,207.87,51.97,218.42,134.417179830035,10.19,5.1,695.88816290137
AT22,865.464520681952,649.69923250812,554.589410343737,745.307583063824,495.251024050332,1856.0126541674,661.525651848713,1779.93097687732,958.267936804829,1115.50963637669,1805.80046582539,1633.35748494194,229.951915220647,883.236064201525,6280.82825141092,4487.70173205266,6676.71107826038,26945.5615007172,1018.62,1312.98,1312.98,1018.62,7058.09152475662,1018.62,485.23,436.347889798483,1228.44584034345,485.23,485.23,1500.57328761636,415.74,940.661909545179,311.81,207.87,51.97,218.42,134.732863119804,10.19,5.1,694.882836411861
AT31,855.655371083094,415.085228608361,585.241464327511,769.580896558716,419.232176865892,1533.48535255731,571.149614129273,2083.87790473922,1175.63748425695,890.219147089901,1873.28459412097,1435.86775131602,230.521250026054,806.006929369987,6371.67911755911,4098.99637943751,9964.41681668527,36954.9554484952,1018.62,1312.98,1312.98,1018.62,5571.00245700833,1018.62,485.23,490.449695141416,1208.36048355292,485.23,485.23,1463.63742316279,415.74,935.426850130677,311.81,207.87,51.97,218.42,134.535031048887,10.19,5.1,696.063094047194
AT32,775.199577053339,655.436711539268,587.628985284928,642.883507999593,493.246279986314,1726.02608540309,756.385700277015,1724.26701150913,739.16,1281.69592363678,1832.35708950928,1580.97389846352,731.09799302567,1119.32017905657,8799.8573715367,4734.82008594726,6873.57983603099,28724.3264757703,1018.62,1312.98,1312.98,1018.62,4551.05607768671,1018.62,485.23,425.7988791478,1062.00210091882,485.23,485.23,1310.28746574673,415.74,943.694822649631,311.81,207.87,51.97,218.42,133.727171331674,10.19,5.1,695.832876560076
AT33,689.376453282645,614.428859252164,607.23281881229,653.257474496292,511.070111351554,1707.5247009267,767.480322167926,1768.79233327649,704.95,806.494600336372,495.2,1492.95757458525,603.382483982763,674.872550272115,6364.97104764786,4674.24237057187,6992.56039234809,32842.3555108469,1018.62,1312.98,1312.98,1018.62,4288.0645287314,1018.62,485.23,362.815001944891,904.467561908029,485.23,485.23,1317.16159578357,415.74,931.613058350198,311.81,207.87,51.97,218.42,134.393511568928,10.19,5.1,696.038313316848
AT34,645.041560195818,816.49725062284,467.886034885311,752.426670842458,221.25,1794.46347693564,812.292163949476,1668.39187341783,706.54,347.49,496.32,518.59,214.37,2579.91155180343,7097.29343662952,4665.350584619,7407.03185788825,32484.1256452914,1018.62,1312.98,1312.98,1018.62,4597.28622564012,1018.62,485.23,421.636974385919,1030.26136844437,485.23,12.6223890599973,1367.07122066024,415.74,928.85299442533,311.81,207.87,51.97,218.42,132.01099222833,10.19,5.1,694.370358523903
EL30,322.859707485609,256.604338542219,814.698373365116,303.682171561722,318.77454542042,559.398516876601,1067.76400184617,7337.23582688652,1733.15629030136,554.499710351546,1249.92431988725,517.18,264.511996464978,217.615959510503,2881.85613693258,2757.21436485787,2728.96282700718,754.588570138671,1680.19453192215,5063.64335566635,1312.98,367.504726966717,490.055355559561,612.6,522.18,423.785425176242,153.960110502528,522.18,522.18,1945.43595900435,560.59,983.683479865344,420.44,280.3,70.07,218.42,88.5168153053745,10.19,5.1,443.948847928953
EL41,288.102239162148,164.121915850647,982.419760912072,273.95487735899,328.655404255908,227.834158795577,1283.72380425905,6942.49747384542,1005.61685415548,394.546478681908,1236.03747422042,608.08,207.145371508945,137.657849927296,2884.12524272216,2760.09070300101,2727.02717257028,750.142110549272,1169.22631409881,4942.21167180069,1312.98,353.739084912882,612.6,612.6,522.18,575.589574536441,398.505785881629,522.18,522.18,1865.27660957584,560.59,958.507818866315,420.44,280.3,70.07,218.42,88.4616092201364,10.19,5.1,437.251356624036
EL42,288.239455162968,139.064968759817,782.5510922353,276.626152317049,329.849826846961,429.889062200021,1032.58008478237,7212.67906026784,932.836129432902,458.465167225435,1222.76664692908,528.29,375.00727076829,191.085648556797,2839.46721160824,2698.03693695245,2748.27981978511,895.694039066136,1214.29557024657,4783.20614105284,1312.98,424.87602619273,612.6,612.6,522.18,462.802168708932,303.732703318892,522.18,522.18,1955.17406464794,560.59,969.349691634648,420.44,280.3,70.07,218.42,88.5613478342052,10.19,5.1,441.144965147524
EL43,483.311910518473,407.331712752274,1027.92865635856,244.254885390486,342.158678699112,947.320422480609,1346.80766130915,9892.68540422369,1324.4925157079,502.291950848856,1255.75315479734,554.46,400.435095000415,156.629310056448,2926.4116136419,2795.79185734866,2714.13920978203,755.613393131077,1268.98005383827,4571.05429136413,1312.98,310.868174593057,612.6,612.6,522.18,711.926214076722,537.070213369988,522.18,13.058906686707,1931.9672043601,560.59,959.21467525478,420.44,280.3,70.07,218.42,89.198610591671,10.19,5.1,429.330406145794
