region,crop,pmp_diagonal
DE730000,RAPE,0.01256998082425738
DE730000,PULS,51.67021981679009
DE730000,SUGB,140.2563086571185
DE730000,MAIF,2.256064994967897
DE730000,OFAR,161.8237576265596
DE730000,OSET,1.0
DE730000,VSET,1000.0
DE730000,FALL,1000.0
DE800000,SWHE,0.9320281055401018
DE800000,RYEM,2.9309784152625
DE800000,BARL,2.456161544584652
DE800000,OATS,3.547949702463308
DE800000,MAIZ,48.70000127063971
DE800000,OCER,0.9735977058510434
DE800000,RAPE,0.00197884325940002
DE800000,PULS,4.982429246616854
DE800000,POTA,349.6896044859457
DE800000,SUGB,27.14995099285506
DE800000,MAIF,9.53110412317155
DE800000,OFAR,12.60166893580822
DE800000,OSET,1.0
DE800000,VSET,263.3289344780852
DE800000,FALL,22.35572940163751
DE910000,SWHE,2.419220953214759
DE910000,RYEM,15.70470725609465
DE910000,BARL,16.09080722101673
DE910000,OATS,88.70418728085768
DE910000,OCER,0.1208982205348924
DE910000,RAPE,0.02052842666462992
DE910000,PULS,253.5962536259736
DE910000,POTA,250.1351475070127
DE910000,SUGB,0.9886007026324143
DE910000,MAIF,3.178836879526171
DE910000,OFAR,365.3715481916863
DE910000,OSET,1.0
DE910000,VSET,886.389654753408
DE910000,FALL,937.8671513211567
DE920000,SWHE,2.176310662697751
DE920000,RYEM,8.601408842130539
DE920000,BARL,13.29942715813397
DE920000,OATS,44.95901037118708
DE920000,MAIZ,66.99543921380582
DE920000,OCER,6.190641449904
DE920000,RAPE,0.01416877851798503
DE920000,PULS,108.9470981833047
DE920000,POTA,417.4087563037328
DE920000,SUGB,0.6496979134470732
DE920000,MAIF,28.24018440605013
DE920000,OFAR,72.69007253699779
DE920000,OSET,1.0
DE920000,VSET,849.4578206663875
DE920000,FALL,908.648946815232
DE930000,SWHE,7.522473050201891
DE930000,RYEM,3.06791761712869
DE930000,BARL,5.256940079626669
DE930000,OATS,32.08747104686273
DE930000,MAIZ,47.51483734057278
DE930000,OCER,1.148514680421701
DE930000,RAPE,0.01333309898836615
DE930000,PULS,77.28571868465
DE930000,POTA,192.1109768013676
DE930000,SUGB,0.5690379441538986
DE930000,MAIF,0.2890846701069006
DE930000,OFAR,26.66785762142453
DE930000,OSET,1.0
DE930000,VSET,729.5982445970338
DE930000,FALL,662.1288547288849
DE940000,SWHE,5.902127451233085
DE940000,RYEM,7.136725066575137
DE940000,BARL,2.839401718336694
DE940000,OATS,20.44340107708131
DE940000,MAIZ,0.3040759375034082
DE940000,OCER,15.10090700077726
DE940000,RAPE,0.01899624810032988
DE940000,POTA,80.17736324691022
DE940000,SUGB,126.13344398876
DE940000,MAIF,0.1562434617664203
DE940000,OFAR,17.29086302416741
DE940000,OSET,1.0
DE940000,VSET,1000.0
DE940000,FALL,1000.0
DEA10000,SWHE,9.57871053639251
DEA10000,RYEM,90.88068436455752
DEA10000,BARL,35.89698418834659
DEA10000,OATS,92.78092777808787
DEA10000,MAIZ,145.0845776018899
DEA10000,OCER,65.45731071690349
DEA10000,RAPE,0.1281186473392219
DEA10000,POTA,364.4134661893548
DEA10000,SUGB,36.52382062958709
DEA10000,MAIF,5.245526554698656
DEA10000,OFAR,55.34782353202171
DEA10000,OSET,1.0
DEA10000,VSET,1000.0
DEA10000,FALL,1000.0
DEA20000,SWHE,6.756601377054839
DEA20000,RYEM,79.65760504202152
DEA20000,BARL,24.34129499345601
DEA20000,OATS,90.71894445529904
DEA20000,MAIZ,297.6939149945994
DEA20000,OCER,128.2108111546966
DEA20000,RAPE,0.1269552824321794
DEA20000,POTA,589.0458047451267
DEA20000,SUGB,20.65068542543644
DEA20000,MAIF,112.3656416362335
DEA20000,OFAR,4.706742013627212
DEA20000,OSET,1.0
DEA20000,VSET,1000.0
DEA20000,FALL,1000.0
DEA30000,SWHE,12.34756218537862
DEA30000,RYEM,21.05287047936364
DEA30000,BARL,4.775463600465027
DEA30000,OATS,55.14966640840398
DEA30000,MAIZ,28.45593236693465
DEA30000,OCER,16.62153828111152
DEA30000,RAPE,0.05052048283950931
DEA30000,POTA,900.6887343140481
DEA30000,SUGB,7.676165189573434
DEA30000,MAIF,0.3072274682910457
DEA30000,OFAR,58.71182753771178
