model_region,activity,nutrient,value
AT12,SUGB,N,211.74074741866
AT12,SUGB,P2O5,106.870182743119
AT12,SUGB,K2O,167.642184521358
AT12,TEXT,N,20.619210408184
AT12,TEXT,P2O5,27.397515961225
AT12,TEXT,K2O,51.3703424272968
AT12,TOBA,N,79.3280718032757
AT12,TOBA,P2O5,7.99382044296404
AT12,TOBA,K2O,89.9304799833454
AT12,TOMA,N,119.374418481045
AT12,TOMA,P2O5,71.1320799241032
AT12,TOMA,K2O,60.9703542206599
AT12,OVEG,N,86.8864992541429
AT12,OVEG,P2O5,23.6292282705841
AT12,OVEG,K2O,20.2536242319292
AT12,APPL,N,45.2265772183611
AT12,APPL,P2O5,7.05058874654061
AT12,APPL,K2O,37.60313998155
AT12,OFRU,N,41.4563369626766
AT12,OFRU,P2O5,4.41638369632623
AT12,OFRU,K2O,18.7696307093865
AT12,TWIN,N,20.5766837205593
AT12,TWIN,P2O5,4.91000291981507
AT12,TWIN,K2O,11.5677890732771
AT12,FALL,N,19.3744184810455
AT12,VSET,N,19.3744184810455
AT12,DCOL,N,86.4256342306326
AT12,DCOL,P2O5,64.0709496670681
AT12,DCOL,K2O,143.323365858805
AT12,DCOH,N,113.579754645238
AT12,DCOH,P2O5,76.8850348547301
AT12,DCOH,K2O,158.379915954308
AT12,BULL,N,21.0179337580112
AT12,BULL,P2O5,11.4673202943822
AT12,BULL,K2O,31.5351308095509
AT12,BULH,N,42.1866215780828
AT12,BULH,P2O5,26.1006501243643
AT12,BULH,K2O,71.776787842002
AT12,HEIL,N,25.1659710626295
AT12,HEIL,P2O5,14.7950044670438
AT12,HEIL,K2O,40.6862622843704
AT12,HEIH,N,58.8334977611458
AT12,HEIH,P2O5,38.9257296217763
AT12,HEIH,K2O,107.045756459885
AT12,SCOW,N,64.5783819258959
AT12,SCOW,P2O5,43.0296477307858
AT12,SCOW,K2O,112.929836083673
AT12,HEIR,N,66.2871701070408
AT12,HEIR,P2O5,52.8730544853146
AT12,HEIR,K2O,145.400899834615
AT12,CAMF,N,5.95965130404525
AT12,CAMF,P2O5,3.18144345915351
AT12,CAMF,K2O,8.74896951267214
AT12,CAFF,N,6.48631552101317
AT12,CAFF,P2O5,3.19323388817165
AT12,CAFF,K2O,8.78139319247205
AT12,CAMR,N,20.573965428432
AT12,CAMR,P2O5,12.6004931506849
AT12,CAMR,K2O,34.6513561643836
AT12,CAFR,N,22.2969063748857
AT12,CAFR,P2O5,11.9411506849315
AT12,CAFR,K2O,32.8381643835616
AT12,PIGF,N,9.12393910961985
AT12,PIGF,P2O5,3.94924104046508
AT12,PIGF,K2O,3.94924104046508
AT12,SOWS,N,33.5154774547706
AT12,SOWS,P2O5,16.8126542913143
AT12,SOWS,K2O,16.8126542913143
AT12,SHGM,N,6.72911572366276
AT12,SHGM,P2O5,4.03087539587095
AT12,SHGM,K2O,11.0849073386451
AT12,SHGF,N,1.98310371919636
AT12,SHGF,P2O5,0.573115722844698
AT12,SHGF,K2O,1.57606823782292
AT12,HENS,N,706.977576308268
AT12,HENS,P2O5,504.0
AT12,HENS,K2O,408.0
AT12,POUF,N,114.181487318024
AT12,POUF,P2O5,53.5743614826171
AT12,POUF,K2O,43.3697212002138
AT12,GRAS,N,57.958541877225
AT12,GRAS,P2O5,13.9496502968819
AT12,GRAS,K2O,32.5491840260577
AT12,SETA,N,19.3744184810455
AT12,DCOW,N,100.002694438338
AT12,DCOW,P2O5,70.4779922610924
AT12,DCOW,K2O,150.851640906794
AT12,BULF,N,65.9896753374293
AT12,BULF,P2O5,39.2234097342573
AT12,BULF,K2O,107.864376769208
AT12,HEIF,N,68.1519278932642
AT12,HEIF,P2O5,43.5856517578155
AT12,HEIF,K2O,119.860542333993
AT12,GROF,N,92.2494465876773
AT12,GROF,P2O5,40.272501371304
AT12,GROF,K2O,88.5360362427167
AT12,LOSF,N,50.1964871667061
AT12,LOSF,P2O5,18.8172375192564
AT12,LOSF,K2O,42.0819089151686
AT12,INTF,N,42.0529594209712
AT12,INTF,P2O5,21.4552638520476
AT12,INTF,K2O,46.4541273275481
AT12,ARAB,N,59.2380882184096
AT12,ARAB,P2O5,20.0429195713523
AT12,ARAB,K2O,50.834711489146
AT12,CERE,N,54.8873568978513
AT12,CERE,P2O5,18.954793590931
AT12,CERE,K2O,63.1904564788735
AT12,PERM,N,39.9498706847469
AT12,PERM,P2O5,11.6480260720767
AT12,PERM,K2O,17.757856897569
AT12,FODD,N,56.5359568128239
AT12,FODD,P2O5,13.0613925152037
AT12,FODD,K2O,29.7184756457808
AT12,SETF,N,19.3744184810455
AT12,OILS,N,71.6475527185049
AT12,OILS,P2O5,23.4629880331707
AT12,OILS,K2O,24.4746556911176
AT12,OAR1,N,124.264564902963
AT12,OAR1,P2O5,55.361048419765
AT12,OAR1,K2O,96.1697229174161
AT12,RUMI,N,73.6837915669762
AT12,RUMI,P2O5,49.029500980919
AT12,RUMI,K2O,120.422833044663
AT12,CATA,N,74.3533894486281
AT12,CATA,P2O5,49.6744751706706
AT12,CATA,K2O,121.75843330489
AT12,BEFM,N,71.3458572361978
AT12,BEFM,P2O5,44.8819313615236
AT12,BEFM,K2O,121.132756909226
AT12,PKPL,N,65.2534031552813
AT12,PKPL,P2O5,30.8422340231999
AT12,PKPL,K2O,31.2502862263727
AT12,AGGT,N,63.4067824623784
AT12,AGGT,P2O5,27.7046766318831
AT12,AGGT,K2O,60.9066278689365
AT12,CACR,N,75.569957575431
AT12,CACR,P2O5,51.6130931580083
AT12,CACR,K2O,122.011523847865
AT12,UVAG,N,396.366431772309
AT12,UVAG,P2O5,648.297645335867
AT12,UVAG,K2O,273.586841742586
AT12,EAAG,N,36.5645839769279
AT12,EAAG,P2O5,26.1085678108018
AT12,EAAG,K2O,24.222294536052
AT12,UAAR,N,59.0411101063648
AT12,UAAR,P2O5,19.1048990876592
AT12,UAAR,K2O,48.0197695355096
AT21,SWHE,N,35.5156256136587
AT21,SWHE,P2O5,11.7040640958558
AT21,SWHE,K2O,70.2243845751349
AT21,DWHE,N,31.0016872799249
AT21,DWHE,P2O5,8.99570109561557
AT21,DWHE,K2O,53.9742065736934
AT21,RYEM,N,33.5875317480216
AT21,RYEM,P2O5,10.5472077764736
AT21,RYEM,K2O,63.2832466588413
AT21,BARL,N,34.9147342292172
AT21,BARL,P2O5,11.343529265191
AT21,BARL,K2O,68.0611755911457
AT21,OATS,N,32.1140458033666
AT21,OATS,P2O5,9.66311620968058
AT21,OATS,K2O,57.9786972580835
AT21,CORN,N,150.933085026297
AT21,CORN,P2O5,64.7506816584192
AT21,CORN,K2O,40.469176036512
AT21,OCER,N,28.6628830941538
AT21,OCER,P2O5,7.59241858415289
AT21,OCER,K2O,45.5545115049173
AT21,RAPE,N,67.2817700190288
AT21,RAPE,P2O5,27.9670461264344
AT21,RAPE,K2O,15.5372478480191
AT21,SUNF,N,49.9589959947228
AT21,SUNF,P2O5,19.4000822138041
AT21,SUNF,K2O,29.1001233207061
AT21,SOYA,N,102.37445173997
AT21,SOYA,P2O5,23.8249929984564
AT21,SOYA,K2O,35.7374894976845
AT21,OOIL,N,34.8472314763684
AT21,OOIL,P2O5,10.0471356564282
AT21,OOIL,K2O,10.0471356564282
AT21,NURS,N,146.942263315634
AT21,NURS,P2O5,87.3400808927563
AT21,NURS,K2O,79.4000735388694
AT21,FLOW,N,146.942263315634
AT21,FLOW,P2O5,104.746728956055
AT21,FLOW,K2O,91.653387836548
AT21,OCRO,N,98.8386473755375
AT21,OCRO,P2O5,29.3912176711191
AT21,OCRO,K2O,26.7192887919264
AT21,MAIF,N,34.007238206972
AT21,MAIF,P2O5,10.8098414933371
AT21,MAIF,K2O,23.7816512853417
AT21,ROOF,N,48.4037047488818
AT21,ROOF,P2O5,16.1974263141581
AT21,ROOF,K2O,65.7978095608751
AT21,OFAR,N,55.617314787578
AT21,OFAR,P2O5,10.5675775790314
AT21,OFAR,K2O,22.6448090979243
AT21,GRAE,N,34.9868951162487
AT21,GRAE,P2O5,6.86096592469768
AT21,GRAE,K2O,16.0089204909613
AT21,GRAI,N,60.290952443826
AT21,GRAI,P2O5,16.0089204909613
AT21,GRAI,K2O,37.3541478122429
AT21,PULS,N,45.4703838083631
AT21,PULS,P2O5,8.62288732325778
AT21,PULS,K2O,10.0600352104674
AT21,POTA,N,42.1227793846745
AT21,POTA,P2O5,10.4455709056435
AT21,POTA,K2O,44.766732452758
AT21,SUGB,N,180.964476930057
AT21,SUGB,P2O5,91.6420137830509
AT21,SUGB,K2O,167.642184521358
AT21,TEXT,N,20.5551505641963
AT21,TEXT,P2O5,27.3123972508873
AT21,TEXT,K2O,51.2107448454137
AT21,TOBA,N,63.3834810218151
AT21,TOBA,P2O5,6.31661718683326
AT21,TOBA,K2O,71.0619433518741
AT21,TOMA,N,116.008852120566
AT21,TOMA,P2O5,70.8393876573503
AT21,TOMA,K2O,60.7194751348717
AT21,OVEG,N,83.9850962233663
AT21,OVEG,P2O5,23.7916854359802
AT21,OVEG,K2O,20.3928732308402
AT21,APPL,N,39.8241731693494
AT21,APPL,P2O5,6.4950875587592
AT21,APPL,K2O,34.6404669800491
AT21,OFRU,N,37.7069968751799
AT21,OFRU,P2O5,4.33962895092286
AT21,OFRU,K2O,18.4434230414221
AT21,TWIN,N,20.541813692444
AT21,TWIN,P2O5,4.91000291981507
AT21,TWIN,K2O,11.5481858594797
AT21,FALL,N,16.0088521205656
AT21,VSET,N,16.0088521205656
AT21,DCOL,N,94.3854604257258
AT21,DCOL,P2O5,63.3598315895823
AT21,DCOL,K2O,142.487802117759
AT21,DCOH,N,117.65143664375
AT21,DCOH,P2O5,75.7002867449894
AT21,DCOH,K2O,156.987836925363
AT21,BULL,N,30.8372361427207
AT21,BULL,P2O5,17.2536737718592
AT21,BULL,K2O,47.4476028726129
AT21,BULH,N,59.9615824300803
AT21,BULH,P2O5,40.9446456641997
AT21,BULH,K2O,112.597775576549
AT21,HEIL,N,41.3563294817174
AT21,HEIL,P2O5,24.6664109609122
AT21,HEIL,K2O,67.8326301425086
AT21,HEIH,N,79.4036646166098
AT21,HEIH,P2O5,50.3256728378247
AT21,HEIH,K2O,138.395600304018
AT21,SCOW,N,75.8104189316542
AT21,SCOW,P2O5,43.0299194557825
AT21,SCOW,K2O,112.930155360544
AT21,HEIR,N,72.7679438124498
AT21,HEIR,P2O5,51.9518645837568
AT21,HEIR,K2O,142.867627605331
AT21,CAMF,N,9.3933596824764
AT21,CAMF,P2O5,4.7723706477451
AT21,CAMF,K2O,13.124019281299
AT21,CAFF,N,9.91698515630017
AT21,CAFF,P2O5,4.78989560730654
AT21,CAFF,K2O,13.172212920093
AT21,CAMR,N,22.1061916906096
AT21,CAMR,P2O5,11.404602739726
AT21,CAMR,K2O,31.3626575342466
AT21,CAFR,N,22.9351797850209
AT21,CAFR,P2O5,10.8315616438356
AT21,CAFR,K2O,29.7867945205479
AT21,PIGF,N,8.16152988682448
AT21,PIGF,P2O5,3.94898768319175
AT21,PIGF,K2O,3.94898768319175
AT21,SOWS,N,32.4745124711698
AT21,SOWS,P2O5,16.8124777394084
AT21,SOWS,K2O,16.8124777394084
AT21,SHGM,N,7.33586042099671
AT21,SHGM,P2O5,4.03087539587095
AT21,SHGM,K2O,11.0849073386451
AT21,SHGF,N,2.23472079143164
AT21,SHGF,P2O5,0.573137742101128
AT21,SHGF,K2O,1.5761287907781
AT21,HENS,N,665.259969604994
AT21,HENS,P2O5,504.0
AT21,HENS,K2O,408.0
AT21,POUF,N,111.675194738983
AT21,POUF,P2O5,53.5733909373744
AT21,POUF,K2O,43.3689355207316
AT21,GRAS,N,47.6389237800377
AT21,GRAS,P2O5,11.4349432078296
AT21,GRAS,K2O,26.6815341516024
AT21,SETA,N,16.0088521205656
AT21,DCOW,N,106.018448534746
AT21,DCOW,P2O5,69.5300591672913
AT21,DCOW,K2O,149.737819521573
AT21,BULF,N,61.1285684459501
AT21,BULF,P2O5,39.1809057541207
AT21,BULF,K2O,107.747490823832
AT21,HEIF,N,69.8149739377888
AT21,HEIF,P2O5,43.3551725059402
AT21,HEIF,K2O,119.226724391335
AT21,GROF,N,26.1480054429879
AT21,GROF,P2O5,11.8174844678211
AT21,GROF,K2O,25.373402938321
AT21,LOSF,N,7.17285712781186
AT21,LOSF,P2O5,3.25193399474142
AT21,LOSF,K2O,8.57842940377555
AT21,INTF,N,18.9751483151761
AT21,INTF,P2O5,8.56555047307967
AT21,INTF,K2O,16.7949735345454
AT21,ARAB,N,70.7562141350243
AT21,ARAB,P2O5,23.8368554424306
AT21,ARAB,K2O,35.5105456151513
AT21,CERE,N,92.9444293663733
AT21,CERE,P2O5,37.9356520323061
AT21,CERE,K2O,50.9381601695242
AT21,PERM,N,76.7322392097299
AT21,PERM,P2O5,25.4081065190185
AT21,PERM,K2O,29.8564117735318
AT21,FODD,N,47.6369915802519
AT21,FODD,P2O5,11.3358442119463
AT21,FODD,K2O,26.2214430768241
AT21,SETF,N,16.0088521205656
AT21,OILS,N,86.3527158738402
AT21,OILS,P2O5,20.9144420607512
AT21,OILS,K2O,29.8907745832579
AT21,OAR1,N,66.498716190963
AT21,OAR1,P2O5,19.458225950075
AT21,OAR1,K2O,29.6418573189934
AT21,RUMI,N,81.4407392733061
AT21,RUMI,P2O5,49.7261678379472
AT21,RUMI,K2O,124.867060203458
