model_region,activity,item,value
AT12,HEIF,DRMX,-19.8952380891411
AT12,HEIF,DAYS,293.040420550115
AT12,CATA,ENNE,89.0742465593955
AT12,CATA,CRPR,1.74113203361542
AT12,CATA,DRMN,12.7777117859902
AT12,CATA,DRMX,-17.1031442417655
AT12,BEFM,ENNE,105.944666077244
AT12,BEFM,CRPR,2.02074975428707
AT12,BEFM,DRMN,14.0674616232765
AT12,BEFM,DRMX,-19.7144454843667
AT12,PKPL,ENNE,166.653083276959
AT12,PKPL,CRPR,3.93444643539533
AT12,PKPL,DRMN,17.538136886976
AT12,PKPL,DRMX,-23.1096400321865
AT21,DCOL,ENNE,98.5010789298323
AT21,DCOL,CRPR,2.02609299917969
AT21,DCOL,DRMN,15.3114716676867
AT21,DCOL,DRMX,-18.3737660012241
AT21,DCOL,DAYS,365.0
AT21,DCOH,ENNE,125.785909196464
AT21,DCOH,CRPR,2.68240407881516
AT21,DCOH,DRMN,17.8894434638505
AT21,DCOH,DRMX,-21.4673321566206
AT21,DCOH,DAYS,365.0
AT21,BULL,ENNE,49.5195373435017
AT21,BULL,CRPR,1.02225548470059
AT21,BULL,DRMN,7.02828762012283
AT21,BULL,DRMX,-10.5424314301842
AT21,BULL,DAYS,208.958462681938
AT21,BULH,ENNE,53.0561511756906
AT21,BULH,CRPR,1.08941731840212
AT21,BULH,DRMN,7.9546561418253
AT21,BULH,DRMX,-11.9319842127379
AT21,BULH,DAYS,395.890779261156
AT21,HEIL,ENNE,44.0116823023829
AT21,HEIL,CRPR,0.909129712919417
AT21,HEIL,DRMN,7.62152015962722
AT21,HEIL,DRMX,-11.4322802394408
AT21,HEIL,DAYS,316.588431647547
AT21,HEIH,ENNE,51.6644985453246
AT21,HEIH,CRPR,1.07656299610912
AT21,HEIH,DRMN,8.72679659518394
AT21,HEIH,DRMX,-13.0901948927759
AT21,HEIH,DAYS,512.167502530418
AT21,SCOW,ENNE,65.5330994350884
AT21,SCOW,CRPR,1.36044472705179
AT21,SCOW,DRMN,10.8915242698724
AT21,SCOW,DRMX,-13.0698291238468
AT21,SCOW,DAYS,365.0
AT21,HEIR,ENNE,37.3747650548251
AT21,HEIR,CRPR,0.774593295926595
AT21,HEIR,DRMN,8.14521302355227
AT21,HEIR,DRMX,-12.2178195353284
AT21,HEIR,DAYS,604.714326005589
AT21,CAMF,ENNE,20.9741228982326
AT21,CAMF,CRPR,0.419586687627385
AT21,CAMF,DRMN,2.73629802326711
AT21,CAMF,DRMX,-4.10444703490066
AT21,CAMF,DAYS,191.250703777552
AT21,CAFF,ENNE,21.7823020153644
AT21,CAFF,CRPR,0.435315120669327
AT21,CAFF,DRMN,2.73989012397762
AT21,CAFF,DRMX,-4.10983518596643
AT21,CAFF,DAYS,191.687970191003
AT21,CAMR,ENNE,26.8409397840851
AT21,CAMR,CRPR,0.532123971010758
AT21,CAMR,DRMN,3.26593367647059
AT21,CAMR,DRMX,-4.89890051470588
AT21,CAMR,DAYS,340.0
AT21,CAFR,ENNE,25.7983413232941
