model_region,AGGT,APPL,ARAB,BARL,BEFM,BULF,BULH,BULL,CACR,CAFF,CAFR,CAMF,CAMR,CATA,CERE,CITR,CORN,DCOH,DCOL,DCOW,DWHE,FLOW,FODD,FPEG,HEIF,HEIH,HEIL,HEIR,HENS,MAIF,NURS,OAR1,OATS,OCER,OCRO,OFAR,OFRU,OILS,OIND,OLIV,OOIL,OVEG,PARI,PERM,PIGF,PKPL,POTA,POUF,PULS,RAPE,ROOF,RUMI,RYEM,SCOW,SHGF,SHGM,SOWS,SOYA,SUGB,SUNF,SWHE,TABO,TAGR,TEXT,TOBA,TOMA,TWIN,UAAR
DEB3,3.16711356906076,28.479530589530402,4.11861170548088,5.747097717120759,0.765412894937578,1.49990290662699,0.42159466428905396,0.28106310952603597,1.70549678950528,0.123702010840231,1.0,0.0930356213998656,1.0,1.48680117315447,0.885824574918352,,8.608739246343541,9.29036456843618,5.57295869582665,7.43166163213141,5.73900095406401,178.470970960146,0.536903442722978,,2.02779882169088,0.297700494438337,0.198466996292225,0.999999999999999,19.4312094481352,49.1150540648936,19.5697448736243,6.05905413080269,4.5022245200366395,5.83589239837724,11.9278027332495,28.819829384232197,12.569334076818999,1.0316677592138002,40.1788958813707,,0.822663129261825,35.6331820665932,,14.5460115917389,0.0817171249627538,1.5955382466516401,33.0495703711521,2.50891645394623,2.61399328808573,2.9863886409922,55.7362419644476,1.44188472871764,5.262019023545901,0.495097959305912,0.0200121245843833,0.0148141626123197,24.0287661743139,,60.670478139456705,2.07074665794751,7.01479184948873,,,5.893405573971171,1.8588169901973,248.239998923086,6.57283279102505,3.62330904358213
DEC0,1.15506148754991,27.9754089997923,1.4778222953874498,6.36242579610527,0.8255275092914831,1.32444292034429,0.421657019922755,0.28110467994850397,1.9273481955949001,0.123700749794684,1.0,0.0930408187359775,1.0,1.6158782579321,0.806541367752728,,8.75725280500809,9.94242345085313,5.96408229376301,7.95325287230804,5.496995094371321,180.558880402135,0.466044518925099,,1.66293017696997,0.297953028613522,0.198635352409015,1.0,18.5111761591799,42.1531490373335,19.5807638959661,6.864473931661331,4.3939666034051195,5.82726991681791,1.0663220651684602,24.878186672166898,12.4608534219228,1.12919913251606,32.539077204921,,,35.6280513573789,,25.3736577501961,0.0816332290806602,1.8700733804439802,34.5402282667348,2.50919260578751,3.42526933649367,3.25534593850827,47.685433472061206,1.60027908968485,5.12353560694258,0.494901980335779,0.0199859791039174,0.0146488140470052,24.133032654795798,,,2.10814433909751,6.52442920272318,,,5.8900487966250905,,248.530605550448,6.81846687987065,0.900088204798819
DEE0,1.4149325943622801,28.304810400806097,1.46075182400393,7.62946533360225,0.8889633845707919,1.77934251368197,0.421740667436818,0.281160444957879,1.82705533253892,0.123702537159326,1.0,0.09303771515143469,1.0,1.69577113347399,0.997100664035931,,9.28351069953471,9.48412231512138,5.689174271547951,7.5866482933346795,5.23088334888217,181.186701621685,0.48883642814911005,,2.4748201883414698,0.297765036305239,0.198510024203493,1.0,19.524796298910797,39.6892669905671,19.5739782008761,3.73651780354436,4.39825909784087,5.8311991176223,1.2318433037627698,24.135131252637798,12.5329948960359,1.14311522561119,43.395665810237205,,0.751167951361973,35.6216955628999,,23.388534397772002,0.0818513762788699,1.49940088793382,43.2796288507561,2.50871466615079,3.6048931537411097,3.3102468287112203,46.8613446606087,1.66927309976563,4.6264849429645105,0.49507426982238,0.0200042546103288,0.0147549825072654,24.0248062664368,1.6428358367583802,74.3577821432982,2.05031503456187,8.08090157514761,,,5.89148580689276,1.80832886339903,248.384926617406,7.0709114577272105,1.30526032731147
DEF0,1.47907683834801,28.036857550980102,1.5378148549513602,8.07419554578749,1.66400295342808,2.13305887721123,0.42169722058778303,0.281131480391855,2.00132686491238,0.123702263324521,1.0,0.0930437666337034,1.0,1.94916848417744,1.08124259961485,,10.8736709816767,9.9442893298817,5.965196150220501,7.95474274005071,5.7181444862895,180.56440026698402,0.632473573149688,,2.6363966558901804,0.29790390850998,0.19860260567332,1.0,19.4840398996624,59.4525425503277,19.571954060937202,4.2873911714787605,4.51701856409937,5.85829399499971,1.0837965257995799,35.060673392222,12.4512122540228,1.22115132411231,32.398089112588096,,0.67483431912222,35.7995298192399,,24.853515994111902,0.0818501981991361,1.36860401250148,44.581370107926695,2.50893578004322,3.27850768702993,3.50654612033625,67.67677091472291,1.91459372866341,6.77796013220302,0.495180227151302,0.0200142812228876,0.014783971003330301,24.023959382407302,,87.6331958708482,2.040516908407,8.761826055882,,,5.90401807287686,1.8025101398910102,247.79514203968802,,1.16959131322842
DEG0,1.43803644941609,28.1015026963671,1.62989027332455,8.11563903720203,0.731051945087682,1.61666130833984,0.42173622556637,0.28115748371091304,1.89587185392223,0.123702474679582,1.0,0.093044520534855,1.0,1.6647561507492101,1.0865823484744102,,9.705939022994409,9.65918071942087,5.79418248369904,7.72668160156004,6.420864781412179,180.554525939173,0.576341655784727,,2.21091191700607,0.29649275040403,0.197661833602686,1.0,19.5088510309547,53.4417879270282,19.5754257811782,5.74663277159491,4.4364386854725,5.83978236993493,1.08893179216862,31.9196345384383,12.480121332070299,1.2781131104358798,41.0194284924999,,0.6921707570495651,35.6881319711581,,23.8774827229252,0.081874032278793,1.36915465791829,45.0558946574495,2.50900806721032,3.63973061601183,3.6837827457908703,61.917228418177906,1.6143451947046301,6.631878553479449,0.495135819767961,0.0200130964369473,0.0147797971312486,24.0225934721615,1.26176314727145,80.23622344037369,2.69603191475051,8.36197436342853,,,5.89550435242316,1.8156029906542301,248.220827861262,,1.38796392845447
EE00,0.601558598357268,2.7724041777406603,0.433839343916049,3.41563759244608,0.761552097596005,2.04754734915926,0.318501030956871,0.21233402063791398,1.99871580121293,0.0789045941614587,1.0,0.07432937794225469,1.0,1.7830811901597798,0.419589212713544,,,11.2011066337368,6.70973572947047,8.95542118160431,,62.897925101418,0.130492302406252,13.8922197467577,2.43968052795994,0.30078643671190297,0.200524291141269,1.0,12.8711737606188,31.4846262943828,0.648714420296054,0.725701593820658,2.29159430745912,3.42104211170053,41.953944724572104,21.275338232039402,0.9531556137335371,0.5852977650009671,,,0.5138128957846431,25.799352236373498,,4.09221651946575,0.0844179069713116,1.31086659725123,30.114432794918898,1.58222045213174,1.50925987064584,1.7480440211804,14.007348028893,1.7406177217664198,3.47637992845699,0.42202729190052496,0.017876342692512502,0.022565827749534802,23.159258375279997,,,,3.72008654401747,,,1.4629884602632002,,19.9582185573524,,0.331259935472037
EL30,1.0316633862848,29.2715613641769,1.78097153316616,2.12097239574699,1.40693760511716,2.6852411549744604,0.32229379293255,0.2148625286217,2.07858148159414,0.221815640434799,1.0,0.20616538270475998,1.0,1.97437680877221,0.501444834958508,25.935183167112,5.5484479041929395,8.56518683631161,5.13815267855544,6.85166975741235,2.0200370768651,104.085154356392,0.056167689995022994,,1.4395298341324998,0.429154503480331,0.28610300232022096,1.0,10.2292447501593,8.90477082071596,11.0794849482594,6.21709445298633,1.59117004082747,4.91989709823614,27.950716847795103,5.28278078121753,13.087286292199801,0.903766787489157,131.327309467481,1.1034043560898101,1.06193527323842,31.416885784221197,6.30358497411287,1.62154656505034,0.0606533696204294,1.73792498797202,27.4300996373622,1.5812120145103299,1.25907735446435,2.22386964365108,,1.06317351685758,2.07577973220708,0.320622261005255,0.0123519587154974,0.105042453706838,11.9481783516738,,75.75345189882209,2.0648149203539,1.83113089935411,2.58578189854131,8.57147148063708,0.6275625201568841,1.6401514148587701,59.3675987735848,4.77629515250779,0.8690915447404189
EL41,1.11485242262963,29.2630290212082,2.1660888921618398,1.09869050556935,0.983118286267362,3.64220634603684,0.322055673099425,0.214703782066283,1.85876269726225,0.22157717982765102,1.0,0.20603821319250598,1.0,1.46561357234236,0.243780071534681,25.6173469883159,0.727302476474182,7.947110676639509,4.76767663298896,6.35739365487227,1.14698647420877,104.10803484884799,0.18565576262529102,,2.16089077072545,0.42733712817783903,0.2848914187851,1.0,10.2758362116616,31.318593782062198,11.0779362098563,1.53425973174136,1.68567162707912,4.91946228731771,28.377161138695598,14.2235480565827,13.0773843380761,0.698974199094634,2.42542045772449,1.10422717702865,0.642278889773209,31.4310507359568,3.33158537383839,2.67086528265484,0.0605184827175327,0.952792300360544,26.2053962338275,1.5812717017971298,0.263474444838819,2.18029159931594,22.3816219165357,0.8696758914498609,2.57521021799023,0.33314927344924805,0.012252691017389801,0.105119891279913,11.8650938015914,,40.992437649508695,1.15185530527362,0.355449294770824,2.5868113763637397,8.55971020267773,0.711848037385722,,59.353987127028695,4.91910317691315,1.1600196615504998
EL42,1.09658390162435,29.677448807606098,2.2940547251578,1.45276492241768,1.2954674493926701,3.0404216910101898,0.32267389224194104,0.215115928161294,1.94942690658867,0.221766795500524,1.0,0.206007536308093,1.0,1.79825483560531,0.270139496470148,26.0784001815297,3.66982740526263,8.44251282240104,5.0649830519834005,6.75374793724134,0.589644183597659,104.00021257070301,0.184400552221031,,1.88909546110321,0.428489731519965,0.285659821013172,1.0,10.2611559556904,22.0429029967202,11.158292841926201,7.85727524732637,1.68327362630277,4.916673554360941,28.9077085229822,9.26653096359595,13.526013888427,0.89610867737501,103.018925172135,1.1140844879290202,1.5630494264152202,31.099037661594,2.75104184096163,4.64450882433284,0.0604383266389593,0.9806289900414991,27.9087922507316,1.5812952637206699,1.04826455398423,2.12245688158364,17.2026745262202,1.00321743986503,2.12669201588659,0.34443951256814,0.0123115842120494,0.105107754040728,11.784661825321,,36.1654128297449,1.56485886260475,1.50166945161833,2.59467097307807,8.58627285140316,,,59.884513270316305,4.79018437124651,1.08778174911072
EL43,1.44780442164637,29.2445797447826,3.0460602206448204,0.09955493134841391,1.7984695111116,4.192024710226891,0.322941208588641,0.215294139059094,2.03574374347759,0.222098629827081,1.0,0.205922468263801,1.0,2.0219829560016898,0.260800794174334,27.481528437512598,9.204917639644211,8.463570089265449,5.0769690123356,6.77026955080121,4.539382856180979,104.109368198485,0.253466642269036,,2.35415441817594,0.42712747977014,0.284751653180451,1.0,10.2278340467493,43.7253827050681,11.0764088551229,5.85617942877884,1.69047262652586,4.91001729825218,26.5916723182813,18.4925226527536,13.0450144379949,1.04776120482046,53.5086012458624,1.10399934577845,1.7638499588526,31.5832981481609,4.7670956034122,3.2441077664561098,0.0604861927003235,0.9171055933214181,33.263723769155796,1.58127902373869,0.797530144052787,2.17303128513767,30.3957081874623,0.845017779112921,2.7397269028062703,0.330546065597597,0.012266966239394,0.105097486443814,11.9194139458885,,57.7910385508739,1.72668662438062,2.32075780862296,2.94709340549253,8.27977304269295,0.714506363971175,,59.2794834204229,4.85240128032753,1.69847090250775
EL51,0.871702882148286,29.248793688489098,1.2501111259165,3.3974651884979,0.66712212383225,2.70281615221257,0.32225995003305097,0.214839966688701,1.89679140722094,0.221715215786959,1.0,0.206007500546325,1.0,1.39588669761457,1.2084827825525999,27.0990506429743,8.76148776638735,8.574269529561079,5.143624331180741,6.858946930373739,3.0055400536493897,104.063403328666,0.17519900216493,,1.6807877342897,0.42933354347922104,0.286222362319481,1.0,10.2305852952337,24.5322530089121,11.0770647715595,2.04882332607374,1.7061247182054502,4.91076716397124,27.317185861837903,14.155123933725498,13.0506016596756,0.5968599783590309,48.8593308436929,1.10910200655098,0.596510718952648,31.5686812478781,7.96277347750524,7.93218456184356,0.0605202883247823,1.08578933466136,51.484686966264896,1.58127439133858,1.01674218936905,2.5273045274907,23.5433715934774,1.02676036842553,2.36064361988972,0.333998873517476,0.0122850691231277,0.105109126814219,11.9643040923677,2.4312935621840603,,2.63631960475159,3.8731891336671,2.6888724342788,8.205391178175471,0.686787835932108,1.2115531229963101,59.289071608915904,4.8546537991967895,0.791177597378555
EL52,1.0614967948337901,29.2451186592944,1.5971532729538802,2.78024337756645,1.36563573381925,2.68546182451133,0.32228103052207097,0.214854020348047,1.98591862305153,0.221717866511084,1.0,0.20599626317459702,1.0,1.81891225870021,0.885242224997398,26.9779617418491,8.60045003748942,8.56407912094571,5.13753185747522,6.85080548921127,1.81617305769631,104.085702262535,0.140286179917792,,1.4541150478273301,0.42934380026074004,0.28622920017382697,1.0,10.316949123193101,18.0006901319275,11.0784289615491,1.7628781753579899,1.66972294297595,4.90120306987941,27.3665590164886,10.305660848127099,13.034130856466499,0.67179486662834,73.3440076603821,1.1030926570757198,0.570186964821694,31.7090763538388,6.01395496115356,6.322113529661411,0.060519648537920294,1.34342647652593,35.9091357372361,1.58129700635314,1.1405270998583101,2.06060812706289,17.3430866772745,1.24062458844188,1.34811616949681,0.333970187597265,0.0122925697516357,0.105084406254227,11.9583874650674,2.7297873716313403,,3.12676080001622,3.08977041118036,2.73852025398467,8.26435191100886,0.6889157334943979,1.88800303786576,59.233263336886,4.8892442359471495,0.943867028650662
EL53,1.17139938640083,29.247980792163002,2.14916805908492,3.52082566009424,0.8518285629629341,2.68523630965788,0.322294073196533,0.214862715464355,1.89933849193441,0.221738051693991,1.0,0.206004247903504,1.0,1.4412793295012,0.792026589956231,26.915618264836603,10.4040663794089,8.46634347443289,5.079099849504599,6.772721661968649,2.0904191754598402,104.1255031861,0.125679142568324,,1.4394987536825399,0.429120763684627,0.28608050912308497,1.0,10.1584375026279,15.9251742061619,11.077141218895,3.6547558843258696,1.65767596774711,4.90968629433287,27.987237696867897,9.088337777621389,13.0483093059102,0.96059374388649,24.3629473306825,1.2240137617131799,1.19706387755193,31.5849147682911,7.35361016479167,12.226322217286501,0.0605190034439022,0.977842582780899,41.3031427830064,1.58128147463915,0.922373349527069,2.3135081347145703,15.3973378940508,0.9641997165214929,2.27503336821918,0.333998335587933,0.0122816716345459,0.105119502577961,11.9635954195361,2.3748285391335,,2.43881096557108,3.3824567009832,2.60009077302683,8.58562036072723,0.711729037528268,1.46377950014699,59.2822516239148,4.844084197731959,1.19078365123197
EL54,0.858795389770996,29.247413196657998,3.25386710149266,2.44365965636493,0.386374760432841,2.68520338665279,0.322295977573484,0.21486398504898901,1.84301541282376,0.221688590305365,1.0,0.20600349457610098,1.0,0.867723699104475,1.53829671057508,27.473222810855,9.040299045575761,8.578701857038341,5.14627500453608,6.86248843078744,1.90789902241705,104.082348134879,0.221110110225891,,1.43988258589105,0.429537707631653,0.28635847175531803,1.0,10.2830386835357,5.397941315185729,11.077257643135999,7.32205793951643,1.6583658570217599,4.908638573946989,27.9835554689477,3.0957749206122798,13.046322620168999,3.41216249146462,28.857785161243502,1.10309684998558,,31.600455415438997,6.74138943365654,4.3973996817059,0.060519912593628496,1.48613215606757,29.8637512667673,1.5813340834390202,0.957328958158176,,4.39167036394184,0.833382648998606,1.03315831042427,0.334031130471364,0.0122866491033812,0.105104146168245,11.9555104561098,4.51139754487905,,2.4744144658187603,3.76263202188181,2.6976073149793702,8.58096831073061,0.730542067728232,,59.2759298499078,4.445507665152321,0.5745632001261061
EL61,1.2474164376794,29.236689325123702,2.2313069339926903,3.44179854839924,0.485300842712147,2.74763554986447,0.32228103941995,0.214854026279967,1.93711821312403,0.221701751504807,1.0,0.206011271153048,1.0,1.1863042987818,1.0296940003669,26.8834221456926,10.486759222624299,8.57749194817967,5.1455508850871805,6.86152141663348,3.19989463824446,104.12477759034,0.17594018831565,,1.70152613234248,0.42943694236617397,0.286291294910783,1.0,10.2619370262959,22.4429494322597,11.073009380458199,1.25863379616164,1.66829114804217,4.918749167506711,27.8393291569505,13.0284845833596,13.0476561984272,1.54727515855003,42.1146698996016,1.10522327880276,5.02988753968362,31.4656544513771,1.8999782936071599,7.9088831404455995,0.0605199250900484,1.09679754483747,30.5560281171215,1.58126203185102,1.19337896045915,2.02422819797056,21.8524981440525,0.922496621821055,1.8793646797333599,0.33401956321584103,0.012283098655265499,0.105115674423521,11.9660235819982,2.56920001085835,,2.99612822928691,4.46073044151666,2.75104174674236,8.43017408973736,0.688967329912791,2.42753096163,59.315277996708,4.89301819949485,1.28784439201692
EL62,2.58795228092007,29.2490482224073,3.1431377217436998,2.21431209311819,0.7017180084616951,4.20493332810546,0.322288362906958,0.214858908604639,1.89630996510744,0.221671110144669,1.0,0.205980799489873,1.0,1.3156030852362701,0.436975622007932,26.5687710815186,2.15756670969966,8.58846678268205,5.15211268798775,6.8702897353349,2.32706862927527,104.08609017129301,1.24908438571748,,2.3470896215201402,0.428614292842451,0.28574286189493303,1.0,9.87230360971417,81.9893337026332,11.0776927558365,8.75012665268822,1.64099345743346,4.90809567530904,27.9123450926717,46.553166610635,13.0474139602664,,430.955285814945,1.1036836357344701,,31.6067076632306,,3.15932759997022,0.0605352962195428,1.09492645359622,18.675206526221398,1.58132067154892,0.686775464087445,,66.914876674729,0.8830234922485509,1.37225050377243,0.333997480814049,0.0122844840481178,0.105111668510811,11.9193844516763,,,,3.49667979706283,2.53607032705425,8.82031515355965,,,59.2752165877919,4.83367631713023,3.1431377217436998
