model_region,AGGT,ANNC,APPL,ARAC,BARL,BEFM,BULF,BULH,BULL,CACR,CAFF,CAFR,CAMF,CAMR,CATA,CERE,CITR,CORN,DCOH,DCOL,DCOW,DWHE,EAAG,FLOW,FODD,FRUN,GRAS,HEIF,HEIH,HEIL,HEIR,HENS,LABT,MAIF,MODU,NURS,OANI,OAR1,OATS,OCER,OCRO,OFAR,OFRU,OILS,OIND,OLIV,OOIL,OVEG,PARI,PERM,PIGF,PKPL,POTA,POUF,PULS,RAPE,ROOF,RUMI,RYEM,SCOW,SETF,SHGF,SHGM,SOWS,SOYA,SUGB,SUNF,SWHE,TABO,TAGR,TEXT,TOBA,TOMA,TWIN,VSET
PL61,147.414907681125,237.308193970578,273.559825254183,237.092951267501,238.800772858133,11.1785730203097,4.34666671428717,1.86451038077068,2.61031453307895,8.89457781158741,1.49160830461654,1.49160830461654,1.49160830461654,1.49160830461654,9.36504038154069,238.32495346856,,235.071752096592,4.53103723069227,9.06207446138453,6.79655584603851,,256.263010727952,211.386153208728,249.136800505468,273.041592958028,264.236802891648,90.748612164736,12.9631466247307,22.6855065932788,22.6855065932788,,994.555713561356,235.071752096592,,207.657132447187,3.72902076154135,234.364427723241,238.800772858133,238.800772858133,207.657132447187,228.792165095505,273.559825254183,237.991524460872,225.063144333964,,225.063144333964,228.792165095505,,258.016534025509,1.12601348251324,8.78781716583564,228.792165095505,,276.893152908294,238.800772858133,228.792165095505,9.44072293662495,238.800772858133,25.9262932494615,207.657132447187,0.372902076154135,3.24078665618269,2.89010127178397,235.071752096592,225.063144333964,235.071752096592,238.800772858133,,269.830804492642,225.063144333964,225.063144333964,228.792165095505,,
PL62,154.739050868202,254.21201437235,307.69777992498,253.340323329438,256.364144695121,10.0576650579094,2.66733805897351,2.0380325355823,2.85324554981522,7.304784834436,1.63042602846584,1.63042602846584,1.63042602846584,1.63042602846584,7.84668104486641,256.246418829703,,252.288079623956,4.75822836356595,9.51645672713189,7.13734254534902,,252.151270841444,211.733197518351,251.022996405909,306.895549919177,253.372697354786,30.9721369081205,6.38980335190348,11.1821558658311,11.1821558658311,57.4133890418109,1163.61203501958,252.288079623956,,207.657132447187,4.0760650711646,256.389487284154,256.364144695121,256.364144695121,207.657132447187,237.12190431041,307.69777992498,255.486186376189,233.045839239246,,233.045839239246,237.12190431041,,283.420948683054,1.2302869080388,13.257167798769,237.12190431041,28.7066945209054,294.456524745281,256.364144695121,237.12190431041,7.85817197441001,256.364144695121,12.779606703807,207.657132447187,0.40760650711646,1.59745083797587,3.1577363972996,252.288079623956,233.045839239246,252.288079623956,256.364144695121,,303.621714853815,233.045839239246,233.045839239246,237.12190431041,,
PL63,156.630885098278,252.323651831497,313.216295607171,251.931205537096,253.692506110345,12.0921407664768,3.06435418853001,2.342923585406,3.2800930195684,13.8551829032417,1.8743388683248,1.8743388683248,1.8743388683248,1.8743388683248,13.340712596966,253.598402051834,,249.006658939533,10.2514449377174,20.5028898754349,15.3771674065772,,194.711841460526,212.342979617999,266.139976555668,312.402649413075,274.639907039176,81.9352343571478,14.1937756549519,24.8391073961658,24.8391073961658,65.928621494135,1072.80731264476,249.006658939533,,207.657132447187,4.685847170812,253.869411305914,253.692506110345,253.692506110345,207.657132447187,235.412740384377,313.216295607171,253.068941445468,230.726893213565,,230.726893213565,235.412740384377,,285.969980310769,1.41275617487432,14.2574632411274,235.412740384377,32.9643107470675,291.784886160506,253.692506110345,235.412740384377,13.4141738931733,253.692506110345,28.3875513099037,207.657132447187,0.4685847170812,3.54844391373797,3.62607418217742,249.006658939533,230.726893213565,249.006658939533,253.692506110345,,308.530448436359,230.726893213565,230.726893213565,235.412740384377,,
PL71,139.177095624057,239.623566714042,252.807766835064,239.271750043362,240.277630146194,4.22507335205037,1.15512745883941,0.605408093809947,0.847571331333926,3.03035310229687,0.484326475047958,0.484326475047958,0.484326475047958,0.484326475047958,3.21113934934593,240.218009210094,,239.066813958574,1.72746058811611,3.45492117623222,2.59119088217454,,238.01472654697,208.867948634807,244.739686948136,252.469085310776,247.920694266783,30.4653496726233,4.43677312788382,7.76435297379669,7.76435297379669,17.0349134188735,897.911893799871,239.066813958574,,207.657132447187,1.21081618761989,242.590903921945,240.277630146194,240.277630146194,207.657132447187,235.536172047099,252.807766835064,239.987835488036,234.325355859479,,234.325355859479,235.536172047099,,246.569031047706,0.365033858975861,4.02383445707709,235.536172047099,8.51745670943676,278.370010196355,240.277630146194,235.536172047099,3.24731099410356,240.277630146194,8.87354625576765,207.657132447187,0.121081618761989,1.10919328197096,0.936920238038043,239.066813958574,234.325355859479,239.066813958574,240.277630146194,,251.596950647444,234.325355859479,234.325355859479,235.536172047099,,
PT11,237.183985147862,315.305517439656,337.95648104595,314.236858720557,353.564958660177,154.113772791821,5.66972213709922,1.45331506230419,3.429596712247,23.320978817335,2.55760767486449,2.55760767486449,2.55760767486449,2.55760767486449,60.4214241685562,351.852609031663,335.049850921342,350.658328535569,17.8676699230498,34.9464000847527,26.4070350039006,350.658328535569,226.097098246714,162.093300758868,340.514141663838,280.456294434912,347.065124390179,96.1333838550128,35.3757434062791,43.7799791066987,43.7799791066987,40.6928217445172,1414.33527076477,350.658328535569,2.06303989390746,159.18667063426,2.90663012460837,300.623600484166,353.564958660177,353.564958660177,159.18667063426,310.881218829175,337.95648104595,310.516653877593,307.974588704567,354.125423312914,307.974588704567,315.935451544572,,281.302408264056,0.871989037382511,70.2114029008464,310.881218829175,20.3464108722586,353.564958660177,,310.881218829175,75.6287135180615,353.564958660177,150.236552354823,179.453394241572,1.68561863748197,20.0781225581772,2.23810519594845,,,350.658328535569,353.564958660177,335.049850921342,335.049850921342,,307.974588704567,315.935451544572,195.519548659514,350.658328535569
PT15,182.68961346116,187.341442220728,197.014221529463,187.050417113255,245.388952901644,159.918654574979,4.08463939834939,1.14318052650699,2.99540836213092,34.1247846429297,2.30950004622673,2.30950004622673,2.30950004622673,2.30950004622673,89.9639630264297,240.731605601958,194.727860476449,243.10259184863,1003.32707591288,2005.8652120644,1504.59614399208,243.10259184863,21.7653752535814,148.943579979826,212.798864571185,204.194685914768,220.035706910188,73.0793772294989,34.123970503339,41.5893765265533,41.5893765265533,,3773.26651595904,243.10259184863,0.0935687619567138,146.657218926812,2.28636105301397,192.09785236522,245.388952901644,245.388952901644,146.657218926812,191.29974242044,197.014221529463,194.880302863983,,213.803432868021,189.013381367426,191.861387824656,189.013381367426,203.030330378186,0.685908315904191,84.0181537023673,191.29974242044,16.0045273710978,245.388952901644,,191.29974242044,115.726618871118,245.388952901644,147.733006548943,163.468325564867,1.62359173032253,19.7651793324422,1.76049801082076,,189.013381367426,243.10259184863,245.388952901644,194.727860476449,194.727860476449,,,191.861387824656,311.547928412999,243.10259184863
PT16,106.912859360112,182.627588619915,196.335433140624,181.887075517827,209.790038477898,138.346944768337,2.05115403206817,0.2786554714169,1.7850732850048,22.3429424287344,1.61788000215466,1.61788000215466,1.61788000215466,1.61788000215466,73.0611011971951,205.599794520288,195.77812219779,209.232727535064,25.699490760409,50.610041759471,38.154766259943,209.232727535064,126.955949575826,116.884265642001,187.305366723192,194.420859250558,191.285043555812,64.3249421619236,30.861564226897,35.8801655427799,35.8801655427799,7.8023531996732,1099.90600095672,209.232727535064,1.50726296049017,116.326954699167,0.5573109428338,170.828334792908,209.790038477898,209.790038477898,116.326954699167,176.62979077653,196.335433140624,208.783063990951,176.072479833696,214.853694589362,176.072479833696,181.560284446099,176.072479833696,193.997067799522,0.16719328285014,20.6706354929166,176.62979077653,3.9011765998366,209.790038477898,,176.62979077653,97.2347839068766,209.790038477898,141.208193996059,129.550314724262,1.45068671930452,18.9495777633317,0.429129425982026,,176.072479833696,209.232727535064,209.790038477898,195.77812219779,195.77812219779,,176.072479833696,181.560284446099,160.611976331491,209.232727535064
PT17,122.23581032979,230.39683049782,259.865473830576,230.203053695258,282.261705131698,101.98107327417,3.71162582113938,0.398096157798656,1.95229024593926,20.2723264576624,1.71343255126006,1.71343255126006,1.71343255126006,1.71343255126006,55.9042045764105,241.035265362785,259.069281514978,281.465512816101,14.7576870080041,28.7264342546612,21.7420606313486,281.465512816101,20.6381245688071,215.79730575758,230.928500137811,249.506061843146,232.268870448431,96.7769468618116,31.8672486976683,37.6401133666297,37.6401133666297,,2166.46543528917,281.465512816101,0.354495325477325,215.001113441982,0.796192315597313,218.994297378361,282.261705131698,282.261705131698,215.001113441982,216.948220937086,259.865473830576,263.072104096022,216.152028621489,278.14485390655,216.152028621489,218.469167725629,216.152028621489,246.214624537967,0.238857694679194,16.4961887741663,216.948220937086,,282.261705131698,,216.948220937086,67.5269785836237,282.261705131698,143.219562937602,219.127061475425,1.47457485658087,19.2009988810245,0.613068083009931,,216.152028621489,281.465512816101,282.261705131698,259.069281514978,259.069281514978,,,218.469167725629,241.369915376812,281.465512816101
PT18,109.153039253982,118.841414439232,122.545538986708,118.738077101248,134.931684599764,150.375841555908,2.43452029683017,0.43646368763224,2.00600478770627,21.8375797495492,1.74412657512693,1.74412657512693,1.74412657512693,1.74412657512693,102.154936799819,131.344005520298,121.672611611443,134.0587572245,52.4898333115117,104.190726861676,78.340280086596,134.0587572245,322.164791673307,102.329219104539,115.54377079926,139.788645636083,116.164459976143,53.7968077350326,28.30167896787,31.4003663394826,31.4003663394826,12.2209832537027,4831.83552008563,134.0587572245,4.53716948041875,101.456291729275,0.872927375264481,126.499606417477,134.931684599764,134.931684599764,101.456291729275,110.965821042958,122.545538986708,128.855787681007,110.092893667693,140.748184003015,110.092893667693,111.875012569811,110.092893667693,137.331248762406,0.261878212579344,55.7076629731667,110.965821042958,6.11049162685137,134.931684599764,,110.965821042958,111.041692593674,134.931684599764,136.088423478005,114.417063039433,1.48224836254758,18.3096064485749,0.67215407895365,,110.092893667693,134.0587572245,134.931684599764,121.672611611443,121.672611611443,,110.092893667693,111.875012569811,201.548555305443,134.0587572245
PT20,183.699812127927,506.217594886611,607.614086884284,501.33330214702,539.905938733559,156.849204277025,6.64167193971084,1.18312295529708,3.0543157720213,16.5765015585494,2.34316142330694,2.34316142330694,2.34316142330694,2.34316142330694,44.8427158838261,539.370664283786,605.247840973689,537.539692822965,8.70686041826709,16.6290496603076,12.6679550392877,537.539692822965,59.8150554153508,324.250325637016,422.956331650656,737.339244973993,410.237666344502,110.099387518992,35.3779451538402,43.7868201745148,43.7868201745148,33.1274427483183,1661.39814459088,537.539692822965,1.03567922754344,321.884079726422,2.36624591059416,378.088556902108,,539.905938733559,321.884079726422,399.176256069465,607.614086884284,396.810010158871,396.810010158871,,396.810010158871,406.018996393525,,674.116507080594,0.709873773178249,13.6061604515978,399.176256069465,16.5637213741591,539.905938733559,,399.176256069465,45.5508935274483,,150.244370718042,321.884079726422,1.63200707459259,20.0790998535795,1.82200935115751,,396.810010158871,,539.905938733559,,605.247840973689,,396.810010158871,406.018996393525,1620.32815436902,
PT30,63.2869564237882,353.865126541538,428.242294548192,342.758628233629,652.371020984659,239.450842356329,3.42718892500745,0.326372463436552,1.85486508341656,110.694359476099,1.65776102981852,1.65776102981852,1.65776102981852,1.65776102981852,182.604068256216,652.177486765857,427.589549621318,651.718276057786,156.157297418721,311.529923661215,233.843610541466,651.718276057786,2.39572179317187,205.700822871358,370.844608309314,360.122102405926,382.218835096775,245.915324118719,70.9048133675245,105.958839548462,105.958839548462,9.13842897622345,26.0345533913362,651.718276057786,0.020703446126755,205.048077944485,0.652744926873103,287.441012067659,,652.371020984659,205.048077944485,280.626753303807,428.242294548192,279.974008376934,,,279.974008376934,286.26472149537,,351.788324105511,0.195823478061931,10.3991115430443,280.626753303807,4.56921448811172,652.371020984659,,280.626753303807,195.744203292473,,221.29810714541,205.048077944485,1.46065697622048,28.9608169070006,0.50261359369229,,,,652.371020984659,,427.589549621318,,,286.26472149537,309.040780854511,
RO11,108.300141268512,136.415303217624,143.823450229892,136.366376207863,143.823450229892,5.39515950854465,3.04571657207684,3.2655192552529,4.57172695735406,23.8195409046848,2.61241540420232,2.61241540420232,2.61241540420232,2.61241540420232,23.0384185612467,140.273991333553,,137.292411719387,26.5143173939589,29.7798366492118,28.1470770215853,137.292411719387,268.919407277837,133.109271555289,140.844128579514,140.545497422474,142.141362173114,11.7588357646596,6.22525165133242,10.8941903898317,10.8941903898317,91.4345391470812,795.952642787692,137.292411719387,,126.578233044783,6.5310385105058,132.377549971106,143.823450229892,143.823450229892,126.578233044783,133.109271555289,143.823450229892,138.918442150044,126.578233044783,,126.578233044783,143.823450229892,126.578233044783,141.69002430271,1.95931155315174,15.2302382070856,133.109271555289,45.7172695735406,143.823450229892,143.823450229892,133.109271555289,19.8093394548462,143.823450229892,12.4505033026648,126.578233044783,0.65310385105058,1.55631291283311,5.02889965308946,137.292411719387,126.578233044783,137.292411719387,143.823450229892,,137.292411719387,126.578233044783,126.578233044783,143.823450229892,137.292411719387,
RO12,113.248633125913,139.798518058311,151.778470881678,139.678872154069,151.778470881678,8.99673508787947,4.53174478078497,4.86271464298974,6.80780050018564,29.1784668466784,3.8901717143918,3.8901717143918,3.8901717143918,3.8901717143918,28.0532268493411,146.603349399938,,142.053041595698,31.2411586849831,36.1038733279728,33.6725160064653,142.053041595698,278.300500227272,136.303662330763,148.133409743154,147.17928890471,149.324442889785,16.5172404438431,9.09848393800063,15.9223468915011,15.9223468915011,136.156010003713,904.790456299786,142.053041595698,,126.578233044783,9.72542928597949,134.28275340785,151.778470881678,151.778470881678,126.578233044783,136.303662330763,151.778470881678,145.369005398993,126.578233044783,,126.578233044783,151.778470881678,,148.849599749324,2.91762878579385,22.392505800596,136.303662330763,68.0780050018564,151.778470881678,151.778470881678,136.303662330763,25.2218091356981,151.778470881678,18.1969678760013,126.578233044783,0.972542928597949,2.27462098450016,7.48858055020421,142.053041595698,126.578233044783,142.053041595698,151.778470881678,,142.053041595698,126.578233044783,126.578233044783,151.778470881678,142.053041595698,
RO21,101.309184135262,133.041411778844,136.379065026317,132.878768340926,136.379065026317,3.5533313400231,2.03525047003076,1.73661511140632,2.43126115596885,21.1437698065441,1.38929208912506,1.38929208912506,1.38929208912506,1.38929208912506,20.1686726653021,134.099315444254,,132.905834803504,25.0812187369477,26.817833848354,25.949526292654,132.905834803504,274.874220912674,130.051463267596,133.893114025895,134.097426598296,135.105137247888,8.03771084273671,3.41076168124193,5.96883294217338,5.96883294217338,48.625223119377,581.570750569602,132.905834803504,,126.578233044783,3.47323022281264,129.145194699482,136.379065026317,136.379065026317,126.578233044783,130.051463267596,136.379065026317,133.562790911283,126.578233044783,,126.578233044783,136.379065026317,,134.7294739872,1.04196906684379,8.40048767786066,130.051463267596,24.3126115596885,136.379065026317,136.379065026317,130.051463267596,16.2338395998555,136.379065026317,6.82152336248386,126.578233044783,0.347323022281264,0.852690420310483,2.67438727156574,132.905834803504,126.578233044783,132.905834803504,136.379065026317,,132.905834803504,126.578233044783,126.578233044783,136.379065026317,132.905834803504,
RO22,104.129526973635,130.37435779565,131.444624134469,130.349631610945,131.444624134469,2.08053788817022,1.52224600408477,0.887803141343555,1.24292439788098,15.4406236998911,0.710242513074844,0.710242513074844,0.710242513074844,0.710242513074844,14.8109025250834,130.6867409208,,129.669017851782,20.4001872934718,21.2879904348154,20.8440888641442,129.669017851782,300.394748507186,128.353839327471,129.757439164342,130.17103230206,130.301406371783,3.82568268263999,1.48926933079967,2.60622132889942,2.60622132889942,24.8584879576196,522.09865715598,129.669017851782,,126.578233044784,1.77560628268711,129.869061559874,131.444624134469,131.444624134469,126.578233044784,128.353839327471,131.444624134469,130.163285588924,126.578233044784,,126.578233044784,131.444624134469,126.578233044784,130.475806114938,0.532681884806133,3.99986997006219,128.353839327471,12.4292439788098,131.444624134469,131.444624134469,128.353839327471,8.87083686321057,131.444624134469,2.97853866159934,126.578233044784,0.177560628268711,0.372317332699917,1.36721683766908,129.669017851782,126.578233044784,129.669017851782,131.444624134469,,129.669017851782,126.578233044784,126.578233044784,131.444624134469,129.669017851782,
